driver_id,avg_speed_kmh,mileage_km,night_driving_ratio,hard_brake_count,hard_accel_count,phone_usage_minutes,years_licensed,claim_filed
90058,64.32,14338.8,0.341,3.0,3.0,8.95,31.47,0
90358,74.01,9684.1,0.3655,6.0,3.0,12.14,15.25,0
90481,89.07,13379.8,0.5146,9.0,6.0,18.32,2.68,1
90157,55.24,16906.2,0.3137,2.0,2.0,5.62,38.65,0
90188,61.2,9310.1,0.0759,2.0,2.0,1.32,2.19,0
90403,69.1,8920.3,0.1548,2.0,1.0,6.36,5.7,1
90402,61.33,16712.6,0.1588,2.0,1.0,1.53,19.17,0
90150,41.28,13792.0,0.0216,1.0,1.0,3.91,9.11,0
90345,57.79,9541.3,0.2729,4.0,4.0,3.56,14.07,1
90266,77.51,13898.3,0.4262,9.0,7.0,14.19,23.14,0
90259,87.19,15133.0,0.5146,9.0,7.0,15.95,38.36,0
90425,77.56,21889.4,0.3321,4.0,5.0,14.14,37.52,0
90079,53.43,10962.2,0.1715,2.0,3.0,3.28,3.88,0
90091,68.25,15840.9,0.2677,7.0,5.0,10.27,34.28,0
90067,33.1,9816.2,0.0003,1.0,1.0,0.0,7.55,0
90302,102.54,17542.5,0.5101,10.0,10.0,21.91,32.65,0
90221,102.54,11147.6,0.5101,10.0,10.0,21.91,12.56,1
90073,62.03,19235.7,0.152,4.0,3.0,6.29,29.0,0
90267,89.82,13071.7,0.3865,9.0,7.0,19.09,29.03,0
90431,85.51,13431.1,0.3176,6.0,5.0,8.45,34.17,0
90287,65.82,21151.4,0.25,5.0,3.0,7.94,39.21,0
90485,63.68,10519.4,0.2994,4.0,3.0,6.62,11.74,1
90487,87.19,18160.6,0.5146,9.0,7.0,15.95,25.5,0
90381,64.54,17762.5,0.2565,4.0,3.0,2.99,29.83,0
90154,72.21,6508.0,0.1652,2.0,1.0,5.21,4.11,1
90313,65.7,13384.4,0.2318,2.0,2.0,6.18,26.86,0
90123,64.63,12101.9,0.3137,4.0,4.0,12.83,13.54,0
90024,83.36,10054.3,0.3986,7.0,5.0,17.52,7.3,1
90244,84.09,14691.7,0.4151,5.0,6.0,11.47,22.43,0
90416,52.94,11651.7,0.0468,2.0,1.0,4.55,19.01,0
90155,62.23,13959.0,0.0519,4.0,2.0,7.18,23.51,0
90337,58.79,17231.4,0.2513,5.0,3.0,9.41,26.03,0
90131,72.21,16830.9,0.1652,2.0,1.0,5.21,20.45,0
90193,85.36,15011.1,0.392,7.0,6.0,14.49,36.3,0
90218,79.27,10166.6,0.3264,6.0,5.0,15.88,7.94,0
90109,42.95,11380.9,0.0,1.0,0.0,0.0,12.26,0
90013,47.43,8901.7,0.0608,0.0,1.0,5.37,14.89,0
90004,48.15,18209.2,0.1373,1.0,0.0,4.6,31.2,0
90443,73.34,16226.8,0.3763,6.0,4.0,11.37,26.43,0
90119,61.3,12294.6,0.125,2.0,2.0,7.57,9.05,1
90065,67.63,15331.6,0.1276,3.0,4.0,7.99,30.03,0
90356,-88.37,-14827.3,-2.4668,27.6,-33.2,-20.92,74.81,0
90291,60.49,18237.2,0.1677,3.0,1.0,5.91,31.04,0
90162,467.45,12792.5,1.487,214.3,293.5,355.17,4.06,0
