상품군별(1),상품군별(2),범위별(1),2021,2022,2023,2024,2025,성장률
화장품,소계,계,12877171,11063963,11979055,13025971,13848416,7.54
화장품,소계,종합몰,11017221,9341274,10154752,10888342,11448910,3.92
화장품,소계,전문몰,1859950,1722689,1824303,2137629,2399506,29.01
아동·유아용품,소계,계,4941028,5196758,5325939,5292458,5480524,10.92
아동·유아용품,소계,종합몰,4585469,4845238,4997388,4949573,5093433,11.08
아동·유아용품,소계,전문몰,355559,351520,328551,342885,387091,8.87
음·식료품,소계,계,22914204,26661315,30227074,34805394,38041110,66.02
음·식료품,소계,종합몰,19709892,22930824,25943710,30322599,33777245,71.37
음·식료품,소계,전문몰,3204312,3730491,4283364,4482795,4263865,33.07
농축수산물,소계,계,8333388,9479464,10944022,12958368,14612507,75.35
농축수산물,소계,종합몰,7423862,8357310,9670774,11511412,13060258,75.92
농축수산물,소계,전문몰,909526,1122154,1273248,1446956,1552249,70.67
생활용품,소계,계,15390349,16629707,17506782,19182557,20069272,30.4
생활용품,소계,종합몰,14139151,15312265,16248118,17814593,18677286,32.1
생활용품,소계,전문몰,1251198,1317442,1258664,1367964,1391986,11.25
자동차 및 자동차용품,소계,계,3542018,4260121,4806460,5819693,7603226,114.66
자동차 및 자동차용품,소계,종합몰,1383490,1416524,1495804,1560120,1623770,17.37
자동차 및 자동차용품,소계,전문몰,2158528,2843597,3310656,4259573,5979456,177.02
가구,소계,계,5371583,5194986,5352064,5794331,5720246,6.49
가구,소계,종합몰,4877358,4751756,4908530,5268035,5188092,6.37
가구,소계,전문몰,494225,443230,443534,526296,532154,7.67
애완용품,소계,계,1962850,2273341,2589262,2792575,2957408,50.67
애완용품,소계,종합몰,1766787,2053000,2308487,2518601,2700559,52.85
애완용품,소계,전문몰,196063,220341,280775,273974,256849,31.0
여행 및 교통서비스,소계,계,9105134,16816475,29392025,32889116,34690844,281.0
여행 및 교통서비스,소계,종합몰,1211879,2565377,2521589,2337249,1772527,46.26
여행 및 교통서비스,소계,전문몰,7893255,14251098,26870436,30551867,32918317,317.04
문화 및 레저서비스,소계,계,1156701,2450139,3006897,3210767,3366238,191.02
문화 및 레저서비스,소계,종합몰,564990,1144801,349612,170044,139743,-75.27
문화 및 레저서비스,소계,전문몰,591711,1305338,2657285,3040723,3226495,445.28
이쿠폰서비스,소계,계,6099697,7535413,9742281,8651314,6281488,2.98
이쿠폰서비스,소계,종합몰,5897474,7122661,9296417,8159675,5853576,-0.74
이쿠폰서비스,소계,전문몰,202223,412752,445864,491639,427912,111.6
음식서비스,소계,계,28660512,31636932,32372212,37201394,41588913,45.11
음식서비스,소계,종합몰,215869,116978,83442,39966,0,-100.0
음식서비스,소계,전문몰,28444643,31519954,32288770,37161428,41588913,46.21
기타서비스,소계,계,2206387,2472916,2167637,2942039,2495583,13.11
기타서비스,소계,종합몰,1513581,1406200,1346899,1988318,1420915,-6.12
기타서비스,소계,전문몰,692806,1066716,820738,953721,1074668,55.12
기타,소계,계,3533490,3499352,3549659,2923977,2913750,-17.54
기타,소계,종합몰,2583416,2685465,2599037,2171347,2140702,-17.14
기타,소계,전문몰,950074,813887,950622,752630,773048,-18.63
