applicant_id,age,annual_income,employment_years,credit_score,home_ownership,loan_purpose,loan_amount,loan_term_months,interest_rate,debt_to_income_ratio,loan_to_income_ratio,num_credit_lines,previous_defaults,is_default
200236,28,28190000.0,3.8,,RENT,부채통합,11740000.0,36,19.36,0.502,0.416,4,0,1
201070,56,,,573.0,MORTGAGE,기타,16510000.0,48,15.69,0.519,0.508,2,0,1
200887,35,49750000.0,11.3,494.0,RENT,사업자금,29590000.0,48,15.98,0.549,0.595,7,1,1
200351,54,33390000.0,3.6,762.0,RENT,의료비,10530000.0,24,10.69,0.291,0.315,3,0,0
200428,52,29590000.0,12.3,675.0,MORTGAGE,자동차구입,19690000.0,48,11.19,0.507,0.665,4,0,0
200270,67,27390000.0,10.9,684.0,RENT,부채통합,13050000.0,24,9.19,0.409,0.476,3,0,0
200644,29,160730000.0,6.9,618.0,RENT,교육,10130000.0,36,12.27,0.192,0.063,1,0,0
200904,51,47420000.0,13.0,613.0,RENT,주택개선,8010000.0,48,13.14,0.387,0.169,2,0,0
200448,52,80130000.0,7.3,611.0,OWN,자동차구입,3530000.0,48,13.14,0.151,0.044,3,0,0
200753,61,31020000.0,10.1,732.0,MORTGAGE,기타,10480000.0,24,7.46,0.362,0.338,3,0,0
200828,42,58990000.0,3.4,703.0,OWN,자동차구입,30830000.0,12,12.47,0.357,0.523,6,2,0
200882,50,37510000.0,0.0,850.0,MORTGAGE,기타,7940000.0,24,6.17,0.458,0.212,1,0,0
200832,55,72630000.0,16.1,695.0,RENT,기타,11860000.0,12,12.44,0.228,0.163,4,0,0
200412,23,37320000.0,1.8,705.0,RENT,의료비,17260000.0,48,11.11,0.484,0.462,5,1,0
200674,58,36910000.0,,571.0,RENT,자동차구입,4380000.0,12,14.74,0.338,0.119,1,0,0
200892,43,47940000.0,3.7,617.0,OWN,기타,10980000.0,24,11.28,0.368,0.229,7,0,0
200624,40,39470000.0,,597.0,RENT,주택개선,5410000.0,12,14.67,0.111,0.137,5,0,0
200194,23,35890000.0,1.6,449.0,MORTGAGE,의료비,11990000.0,12,18.47,0.138,0.334,3,1,1
200312,68,78880000.0,11.1,688.0,MORTGAGE,주택개선,25860000.0,60,10.46,0.299,0.328,2,0,0
200616,42,41680000.0,,719.0,RENT,의료비,11300000.0,24,10.84,0.33,0.271,3,0,0
200325,61,64750000.0,8.5,725.0,MORTGAGE,자동차구입,45860000.0,60,10.07,0.424,0.708,6,0,0
200096,47,36660000.0,,678.0,RENT,부채통합,10100000.0,24,12.94,0.288,0.276,6,0,1
200678,44,37720000.0,11.6,573.0,OWN,의료비,26390000.0,36,16.16,0.619,0.7,3,0,0
200669,43,37670000.0,12.9,562.0,MORTGAGE,교육,21350000.0,24,14.51,0.575,0.567,1,0,1
201012,43,47740000.0,4.5,614.0,MORTGAGE,주택개선,4350000.0,36,12.97,0.136,0.091,5,0,0
200108,40,62630000.0,2.1,696.0,MORTGAGE,부채통합,244440000.0,24,11.39,0.233,0.205,3,0,0
200198,23,34190000.0,5.8,527.0,RENT,자동차구입,3830000.0,36,15.77,0.272,0.112,3,0,0
200004,65,46790000.0,9.7,447.0,RENT,주택개선,15970000.0,12,19.89,0.318,0.341,8,0,1
200145,45,53820000.0,15.5,595.0,OWN,의료비,2680000.0,12,14.77,0.153,0.05,3,0,1
201115,32,32390000.0,11.2,730.0,MORTGAGE,사업자금,5380000.0,36,9.03,0.247,0.166,9,0,0
201089,40,70160000.0,8.1,678.0,MORTGAGE,주택개선,36040000.0,48,11.23,0.472,0.514,3,0,0
200104,50,47280000.0,7.3,737.0,MORTGAGE,의료비,4460000.0,12,12.9,0.23,0.094,3,0,0
200874,43,38380000.0,5.0,678.0,OWN,자동차구입,14130000.0,24,13.13,0.37,0.368,3,0,0
200734,40,31640000.0,15.6,606.0,RENT,자동차구입,15830000.0,24,12.44,0.638,0.5,4,2,0
200305,54,73860000.0,4.6,742.0,MORTGAGE,부채통합,8320000.0,48,11.24,0.291,0.113,4,0,0
200240,61,53160000.0,8.8,658.0,RENT,사업자금,37080000.0,60,9.59,0.461,0.698,7,0,0
200169,40,51560000.0,4.5,543.0,RENT,주택개선,3530000.0,24,14.36,0.249,0.068,6,0,0
200718,30,43950000.0,4.0,565.0,OWN,부채통합,16200000.0,24,13.92,0.288,0.369,5,0,0
200906,61,27310000.0,18.7,,MORTGAGE,교육,5760000.0,48,13.25,0.289,0.211,1,0,0
201023,60,38600000.0,13.3,761.0,RENT,부채통합,13950000.0,24,8.97,0.289,0.361,6,0,0
200144,36,56440000.0,16.6,548.0,MORTGAGE,부채통합,22290000.0,60,13.3,0.41,0.395,4,1,1
200158,49,32630000.0,4.0,641.0,RENT,기타,6970000.0,60,13.08,0.218,0.214,6,3,1
200973,66,28690000.0,12.1,611.0,MORTGAGE,주택개선,20620000.0,36,15.07,0.612,0.719,3,0,0
200432,37,29500000.0,7.4,781.0,OWN,사업자금,21430000.0,36,9.64,0.539,0.726,4,0,0
201030,61,55400000.0,9.1,797.0,RENT,부채통합,22370000.0,48,7.32,0.459,0.404,2,0,0
200356,61,46250000.0,4.4,696.0,RENT,사업자금,16150000.0,36,9.9,0.302,0.349,5,0,0
200485,64,66700000.0,3.0,726.0,MORTGAGE,사업자금,3650000.0,36,8.98,0.2,0.055,4,0,0
200294,25,35940000.0,12.8,690.0,RENT,부채통합,22600000.0,48,14.05,0.489,0.629,0,2,0
201102,43,59370000.0,5.9,609.0,RENT,기타,12670000.0,48,15.62,0.308,0.213,4,0,0
200949,45,56610000.0,15.5,748.0,MORTGAGE,자동차구입,4630000.0,12,9.62,0.281,0.082,2,0,0
200086,46,26440000.0,12.1,728.0,MORTGAGE,기타,14880000.0,12,10.58,0.553,0.563,4,0,0
201119,41,31530000.0,0.0,695.0,RENT,기타,12830000.0,60,11.39,0.46,0.407,9,0,0
200564,39,53550000.0,3.3,683.0,RENT,부채통합,1000000.0,36,11.77,0.092,0.019,3,0,0
200020,44,66600000.0,15.0,641.0,MORTGAGE,의료비,26080000.0,48,13.72,0.307,0.392,3,0,0
200318,31,68710000.0,7.8,523.0,MORTGAGE,부채통합,19500000.0,36,16.45,0.392,0.284,8,0,0
200324,65,15480000.0,4.8,716.0,RENT,교육,9870000.0,60,10.97,0.402,0.638,6,0,0
200500,40,19090000.0,1.4,687.0,OWN,부채통합,13940000.0,24,11.36,0.519,0.73,5,1,0
200165,33,60880000.0,7.1,652.0,MORTGAGE,사업자금,20460000.0,24,10.56,0.471,0.336,1,0,0
200668,31,56860000.0,10.2,508.0,MORTGAGE,부채통합,1000000.0,36,19.08,0.279,0.018,4,0,0
200747,68,71750000.0,11.2,519.0,MORTGAGE,주택개선,19600000.0,36,14.27,0.213,0.273,8,1,1
200074,39,27860000.0,6.0,782.0,RENT,주택개선,10400000.0,36,8.33,0.453,0.373,7,0,0
200191,43,39730000.0,7.5,598.0,MORTGAGE,부채통합,7220000.0,36,11.31,0.273,0.182,6,1,0
200801,68,17170000.0,0.4,521.0,RENT,주택개선,10410000.0,24,16.74,0.457,0.606,1,0,1
200429,28,50980000.0,5.3,557.0,RENT,사업자금,13290000.0,24,13.45,0.167,0.261,2,0,0
200340,68,57090000.0,17.1,816.0,MORTGAGE,부채통합,8640000.0,48,8.37,0.298,0.151,3,0,0
200824,52,46480000.0,11.9,540.0,MORTGAGE,주택개선,22920000.0,24,14.91,0.439,0.493,8,0,1
200611,31,76810000.0,5.7,696.0,MORTGAGE,사업자금,4080000.0,36,11.35,0.204,0.053,3,1,0
200378,34,25630000.0,9.0,569.0,MORTGAGE,주택개선,21550000.0,48,16.24,0.626,0.841,2,0,0
200304,60,81150000.0,13.1,693.0,MORTGAGE,의료비,7090000.0,60,12.4,0.187,0.087,4,0,0
200092,57,30550000.0,3.5,651.0,RENT,자동차구입,7820000.0,48,9.87,0.179,0.256,4,1,0
200489,50,,19.2,850.0,MORTGAGE,기타,8280000.0,24,8.07,0.293,0.347,2,2,0
200291,56,30160000.0,3.0,523.0,MORTGAGE,의료비,6990000.0,12,15.04,0.161,0.232,3,0,0
200401,52,31890000.0,2.2,645.0,OWN,부채통합,10900000.0,12,12.83,0.202,0.342,6,0,0
201125,28,33900000.0,0.0,746.0,OWN,의료비,32690000.0,60,11.29,0.589,0.964,6,1,0
200857,24,66970000.0,15.2,652.0,RENT,자동차구입,13220000.0,12,11.16,0.27,0.197,9,3,1
200895,66,26660000.0,14.9,668.0,RENT,사업자금,10280000.0,48,10.95,0.251,0.386,10,1,0
200727,61,95140000.0,0.0,636.0,RENT,사업자금,12460000.0,24,12.0,0.2,0.131,4,0,0
200690,24,40400000.0,2.1,645.0,RENT,교육,18390000.0,36,12.29,0.323,0.455,5,0,0
200657,27,27870000.0,0.0,826.0,MORTGAGE,기타,7980000.0,36,8.88,0.388,0.286,7,0,0
200438,28,55520000.0,8.8,550.0,MORTGAGE,사업자금,2440000.0,24,13.23,0.352,0.044,6,0,0
200820,60,22310000.0,20.1,850.0,MORTGAGE,주택개선,4410000.0,36,7.18,0.242,0.198,3,0,0
200449,34,40010000.0,7.2,698.0,MORTGAGE,기타,3350000.0,36,10.5,0.104,0.084,1,0,0
200028,43,30980000.0,12.0,594.0,MORTGAGE,기타,4810000.0,48,13.33,0.298,0.155,5,1,0
201095,65,65320000.0,6.7,714.0,RENT,의료비,8420000.0,36,11.33,0.207,0.129,2,0,0
200239,62,41850000.0,6.4,711.0,OWN,의료비,24010000.0,36,11.33,0.447,0.574,5,0,0
201100,28,28530000.0,4.8,733.0,MORTGAGE,기타,9040000.0,36,10.58,0.484,0.317,4,0,0
200944,40,53300000.0,5.8,662.0,OWN,사업자금,17040000.0,60,11.42,0.422,0.32,7,1,0
200590,56,74680000.0,7.3,640.0,RENT,부채통합,14580000.0,24,11.67,0.26,0.195,3,0,0
200730,52,50550000.0,15.0,616.0,OWN,의료비,2720000.0,36,13.77,0.178,0.054,3,0,0
200132,33,72570000.0,5.1,626.0,MORTGAGE,기타,14900000.0,12,14.22,0.384,0.205,7,0,1
200250,56,,5.7,771.0,MORTGAGE,교육,16930000.0,36,10.79,0.302,0.188,2,0,0
200889,46,60000000.0,14.3,607.0,RENT,사업자금,8560000.0,36,13.88,0.192,0.143,0,0,0
200807,36,129500000.0,9.9,,MORTGAGE,자동차구입,1000000.0,60,10.34,0.312,0.008,6,0,0
200885,22,99760000.0,10.7,739.0,MORTGAGE,사업자금,19480000.0,24,11.54,0.291,0.195,6,0,0
200450,51,,5.6,806.0,MORTGAGE,교육,3690000.0,24,8.25,0.204,0.093,2,0,0
200288,64,38170000.0,10.2,655.0,MORTGAGE,주택개선,8770000.0,12,12.58,0.217,0.23,6,1,0
200639,23,23520000.0,8.0,655.0,RENT,기타,5870000.0,24,15.17,0.253,0.25,4,0,0
200881,59,54710000.0,9.3,589.0,RENT,사업자금,34590000.0,24,15.66,0.474,0.632,3,0,0
200958,42,26420000.0,,643.0,RENT,교육,23750000.0,12,11.56,0.754,0.899,5,1,1
200684,36,21360000.0,11.6,627.0,RENT,사업자금,4760000.0,36,14.66,0.337,0.223,2,0,0
200567,33,44900000.0,7.8,,MORTGAGE,사업자금,6180000.0,12,12.57,0.191,0.138,2,2,0
200315,51,45020000.0,17.5,705.0,OWN,부채통합,6070000.0,60,11.88,0.258,0.135,4,0,0
200465,37,41550000.0,1.7,666.0,OWN,교육,13810000.0,24,13.55,0.365,0.332,6,3,1
201069,40,80180000.0,6.7,531.0,RENT,부채통합,22990000.0,36,16.29,0.21,0.287,7,0,0
200329,57,47900000.0,1.3,733.0,RENT,사업자금,5460000.0,60,13.1,0.199,0.114,3,1,0
200559,47,27660000.0,5.5,568.0,RENT,의료비,13970000.0,12,16.42,0.353,0.505,4,0,0
201007,29,48350000.0,6.4,639.0,RENT,주택개선,2300000.0,36,11.52,0.203,0.048,1,0,0
200588,52,65410000.0,3.9,528.0,MORTGAGE,자동차구입,4700000.0,36,15.56,0.144,0.072,4,0,1
200665,66,40490000.0,3.6,681.0,MORTGAGE,부채통합,14020000.0,24,13.89,0.246,0.346,3,0,0
200804,66,19060000.0,0.1,784.0,RENT,기타,7780000.0,48,8.65,0.484,0.408,2,0,0
200880,25,31130000.0,7.5,651.0,MORTGAGE,교육,10580000.0,36,12.16,0.385,0.34,9,1,0
200386,23,44740000.0,7.1,519.0,OWN,기타,3520000.0,48,17.99,0.191,0.079,4,0,1
200636,40,53680000.0,6.1,678.0,RENT,주택개선,9170000.0,48,11.1,0.323,0.171,4,2,0
200066,22,22270000.0,6.2,702.0,MORTGAGE,자동차구입,13840000.0,60,10.95,0.483,0.621,6,0,1
200523,31,46860000.0,5.9,749.0,RENT,부채통합,21550000.0,60,9.9,0.28,0.46,5,0,0
200081,47,26740000.0,0.0,757.0,RENT,교육,4270000.0,36,9.7,0.113,0.16,7,0,0
200833,33,55230000.0,2.4,684.0,RENT,주택개선,22640000.0,36,11.43,0.551,0.41,3,0,0
200499,47,107280000.0,,741.0,OWN,교육,23640000.0,48,11.28,0.292,0.22,5,0,0
201014,39,58810000.0,,,MORTGAGE,주택개선,6840000.0,36,11.14,0.147,0.116,3,0,0
200760,65,53460000.0,8.3,662.0,RENT,부채통합,20750000.0,24,14.03,0.354,0.388,3,0,0
200558,59,,6.4,550.0,MORTGAGE,교육,20630000.0,48,13.96,,0.404,4,0,1
200084,64,,9.5,,MORTGAGE,의료비,4630000.0,48,11.62,0.304,0.289,5,0,0
200828,42,58990000.0,3.4,703.0,OWN,자동차구입,30830000.0,12,12.47,0.357,0.523,6,2,0
200860,47,50210000.0,2.5,739.0,MORTGAGE,주택개선,13650000.0,12,9.84,0.38,0.272,6,0,0
200005,49,29730000.0,12.8,760.0,OWN,기타,17190000.0,48,10.16,0.453,0.578,6,0,0
200645,38,66810000.0,11.4,448.0,MORTGAGE,자동차구입,5720000.0,48,17.68,0.246,0.086,5,0,1
200355,55,26350000.0,9.4,808.0,OWN,기타,10810000.0,36,9.27,0.341,0.41,5,0,0
200382,31,42520000.0,6.8,708.0,RENT,사업자금,7580000.0,48,10.59,0.303,0.178,2,0,0
200817,26,38450000.0,10.8,421.0,MORTGAGE,교육,7200000.0,24,20.53,0.228,0.187,4,0,1
200127,67,24330000.0,5.2,623.0,MORTGAGE,부채통합,14080000.0,36,12.69,0.44,0.579,4,0,0
200140,32,45220000.0,13.1,692.0,RENT,의료비,9450000.0,24,12.77,0.244,0.209,5,2,0
200002,52,86000000.0,8.0,554.0,RENT,주택개선,9260000.0,36,17.73,0.154,0.108,2,0,0
200082,34,38260000.0,12.2,615.0,MORTGAGE,기타,11410000.0,60,13.39,0.221,0.298,6,0,0
200410,49,63450000.0,0.0,493.0,RENT,기타,20600000.0,36,18.31,0.298,0.325,3,0,1
200217,63,68210000.0,0.0,564.0,OWN,부채통합,17690000.0,48,13.39,0.238,0.259,2,0,0
200510,37,87530000.0,11.3,615.0,OWN,주택개선,13120000.0,24,12.87,0.255,0.15,3,1,0
200392,54,39380000.0,13.0,621.0,RENT,부채통합,20330000.0,12,12.48,0.495,0.516,2,0,0
200377,34,57440000.0,4.9,591.0,RENT,주택개선,1810000.0,36,13.3,0.259,0.032,2,0,0
200466,63,23810000.0,10.3,645.0,MORTGAGE,사업자금,5070000.0,60,11.87,0.418,0.213,6,0,0
201049,31,43010000.0,12.5,605.0,MORTGAGE,교육,7030000.0,24,13.72,0.197,0.163,6,0,0
200052,46,26020000.0,10.8,,MORTGAGE,자동차구입,3260000.0,36,15.71,0.388,0.125,2,0,1
200032,48,76890000.0,9.9,712.0,MORTGAGE,부채통합,5540000.0,36,11.82,0.154,0.072,4,0,0
200755,57,43050000.0,0.0,619.0,MORTGAGE,기타,50960000.0,12,12.99,0.656,1.184,6,0,0
200176,40,36930000.0,5.4,654.0,RENT,자동차구입,1570000.0,24,12.14,0.174,0.043,3,0,0
200170,64,28410000.0,7.4,658.0,MORTGAGE,부채통합,31920000.0,24,14.57,0.755,1.124,3,0,0
200256,39,22060000.0,0.0,620.0,RENT,자동차구입,11550000.0,48,14.11,0.357,0.524,5,1,0
201090,58,31540000.0,14.2,655.0,MORTGAGE,자동차구입,3700000.0,60,14.12,0.05,0.117,4,0,0
200058,52,47930000.0,12.7,737.0,RENT,사업자금,3560000.0,48,11.0,0.268,0.074,4,2,0
200458,61,50860000.0,8.4,,RENT,부채통합,6160000.0,36,12.6,0.08,0.121,5,0,0
200871,52,44080000.0,8.4,656.0,RENT,기타,28560000.0,36,11.77,0.419,0.648,8,0,1
200059,43,27400000.0,8.6,,MORTGAGE,주택개선,13660000.0,24,13.21,0.344,0.499,4,0,0
200331,65,47100000.0,11.4,694.0,OWN,부채통합,1300000.0,24,10.24,0.395,0.028,1,0,0
201075,24,27780000.0,12.7,589.0,MORTGAGE,사업자금,17210000.0,60,13.16,0.563,0.62,5,0,0
200643,28,75590000.0,2.5,617.0,OWN,부채통합,22670000.0,12,10.71,0.307,0.3,3,0,0
200228,66,57090000.0,8.6,396.0,RENT,기타,4380000.0,48,19.37,0.194,0.077,10,0,1
201054,31,28440000.0,0.0,547.0,RENT,자동차구입,12820000.0,36,17.51,0.331,0.451,4,1,1
200100,63,31920000.0,4.8,697.0,MORTGAGE,기타,25690000.0,36,11.53,0.795,0.805,4,0,0
200638,28,26560000.0,0.2,650.0,OWN,교육,10540000.0,24,10.59,0.359,0.397,5,0,0
200743,38,46980000.0,0.0,517.0,RENT,의료비,6990000.0,36,17.51,0.157,0.149,3,0,1
200116,40,28980000.0,6.3,681.0,RENT,교육,12330000.0,60,11.02,0.399,0.425,3,0,0
200614,40,40210000.0,15.1,485.0,MORTGAGE,의료비,17930000.0,36,15.39,0.305,0.446,7,1,1
200984,34,77060000.0,14.9,705.0,OWN,의료비,2190000.0,48,11.98,0.23,0.028,4,1,0
200289,39,52480000.0,4.1,,RENT,주택개선,4500000.0,60,12.86,0.202,0.086,3,0,0
200122,51,51670000.0,5.2,646.0,OWN,사업자금,18370000.0,48,15.26,0.507,0.356,5,0,0
201019,47,28380000.0,0.3,563.0,RENT,주택개선,20230000.0,24,14.22,0.568,0.713,4,0,1
200911,42,23760000.0,13.6,604.0,RENT,주택개선,22110000.0,24,15.51,0.48,0.931,4,0,1
200737,30,18080000.0,6.0,719.0,RENT,의료비,10580000.0,48,10.33,0.433,0.585,4,0,0
200632,61,41670000.0,12.9,593.0,MORTGAGE,자동차구입,20890000.0,24,13.77,0.368,0.501,5,0,0
200929,29,57990000.0,6.1,587.0,MORTGAGE,기타,9290000.0,24,12.65,0.263,0.16,5,0,0
200133,24,71620000.0,19.7,519.0,MORTGAGE,의료비,2010000.0,48,12.47,0.218,0.028,4,0,0
200619,38,50130000.0,3.0,743.0,RENT,자동차구입,12740000.0,24,10.96,0.256,0.254,3,2,0
200834,62,45340000.0,14.3,573.0,RENT,부채통합,4690000.0,12,14.24,0.178,0.103,7,0,0
200244,52,51230000.0,13.2,704.0,MORTGAGE,자동차구입,25560000.0,36,11.17,0.427,0.499,9,0,0
200541,45,63060000.0,8.1,660.0,RENT,부채통합,10430000.0,60,12.19,0.146,0.165,4,0,0
200910,52,53780000.0,0.7,683.0,MORTGAGE,의료비,49360000.0,48,11.27,0.558,0.918,4,0,0
200008,32,24930000.0,0.0,575.0,MORTGAGE,의료비,6390000.0,12,13.59,0.323,0.256,1,1,1
200207,25,51640000.0,3.6,689.0,MORTGAGE,자동차구입,39890000.0,36,13.28,0.551,0.772,3,0,0
200353,22,38280000.0,10.7,692.0,OWN,주택개선,10950000.0,36,10.69,0.224,0.286,6,0,0
201133,46,49380000.0,6.9,744.0,MORTGAGE,부채통합,10970000.0,60,9.26,0.198,0.222,4,0,0
200926,46,145580000.0,20.3,602.0,RENT,부채통합,4280000.0,48,13.44,0.02,0.029,3,0,0
200205,56,43280000.0,7.6,707.0,RENT,부채통합,6980000.0,36,11.12,0.332,0.161,4,0,0
200601,36,19170000.0,2.9,640.0,RENT,주택개선,8000000.0,12,11.59,0.401,0.417,4,0,0
201145,51,97400000.0,12.2,518.0,OWN,주택개선,14660000.0,24,17.61,0.469,0.151,4,0,0
200488,53,24100000.0,7.6,685.0,RENT,기타,12370000.0,48,12.23,0.471,0.513,3,0,0
201056,68,,1.8,732.0,MORTGAGE,자동차구입,9240000.0,36,10.71,0.267,0.088,4,1,0
200714,63,31710000.0,10.6,,OWN,부채통합,10970000.0,60,11.9,0.37,0.346,6,0,0
200783,36,44460000.0,3.4,,RENT,기타,3180000.0,24,21.47,0.256,0.072,2,1,1
200852,68,88370000.0,11.6,775.0,MORTGAGE,의료비,19060000.0,24,10.75,0.215,0.216,3,0,0
200721,63,63800000.0,9.9,630.0,MORTGAGE,교육,7920000.0,48,12.78,0.133,0.124,5,2,0
200943,55,56500000.0,14.4,658.0,RENT,기타,30570000.0,12,14.68,0.238,0.541,7,0,0
200649,39,34430000.0,2.8,676.0,OWN,부채통합,9900000.0,36,13.23,0.219,0.288,3,0,0
200233,57,56160000.0,2.4,822.0,MORTGAGE,주택개선,11940000.0,60,6.51,0.317,0.213,4,0,0
