R&D Spend,Administration,Marketing Spend,State,Profit
22736.88,139077.28,105360.53,Florida,23204.77
67578.95,142077.5,75669.53,Florida,75493.14
36356.83,150756.16,156342.45,Florida,55260.19
36761.94,145399.99,62192.58,Florida,50459.33
41354.88,148542.95,158666.23,New York,47469.07
49168.6,106842.16,143864.23,Florida,42239.24
44898.77,134777.77,93356.13,New York,64770.79
24967.87,141561.98,13309.33,California,56387.42
76475.71,141469.16,189366.44,New York,88571.03
86651.5,100135.32,0.0,Florida,67312.03
65369.53,120687.67,639768.9924708533,New York,61372.39
82141.94,169604.81,98975.09,Florida,89297.05
138339.59,90469.31,313164.2613925872,Florida,125328.03
168943.65,76206.48,169319.9,New York,152887.99
90905.93,146988.43,0.0,Florida,88857.38
17728.77,162266.86,146475.32,New York,38980.65
70980.46,156375.53,91462.92,New York,73002.93
53486.06,129879.26,59981.75,New York,63712.03
116840.72,100743.48,35039.11,California,119589.46
172000.0,145638.15,222570.44,New York,163595.45
90235.53,111665.43,73438.55,New York,92459.88
35915.06,141129.07,77340.04,New York,52472.51
,183000.0,23168.25,Florida,104850.7
72137.15,125551.66,146011.76,New York,85880.28
41775.63,86889.04,,California,60190.55
58826.89,132273.71,117998.1,New York,73910.04
172000.0,,0.0,California,161079.72
75149.68,123845.86,128266.12,New York,81610.95
,129197.31,82343.8,New York,27370.05
108314.86,98366.06,107193.03,Florida,97453.94
66894.79,127906.23,124232.9,New York,75288.06
145208.3,158947.97,178731.37,Florida,139883.73
43347.48,127872.36,0.0,New York,69212.66
47162.37,94083.74,90847.23,New York,64479.84
129829.43,104931.36,196966.04,Florida,129957.54
75127.02,125593.81,,New York,85759.39
49110.13,115234.06,54944.84,New York,53502.13
77385.74,80237.32,25515.87,New York,86115.59
,125097.22,0.0,California,64253.54
10438.62,117357.13,110454.4,California,23880.08
65229.7,144611.57,56644.87,New York,81871.2
32348.59,88440.59,87673.55,New York,36826.12
73789.57,120710.65,141789.07,New York,73298.54
106914.73,80268.54,245959.99,Florida,118747.49
12306.45,82056.92,,New York,37779.78
139784.41,-88770.78185535404,222937.72,Florida,127302.6
69455.19,129210.95,84895.33,Florida,75483.25
94362.56,146098.25,194426.23,New York,94668.51
38698.81,148879.05,75135.85,Florida,54543.48
169406.33,79670.9,150023.82,New York,168780.8
85855.01,149568.51,,New York,78467.26
38784.72,137628.39,263585.44,California,40689.12
35723.89,94042.5,156993.98,Florida,49107.82
84589.52,119507.03,73765.9,California,90382.65
148442.96,168194.72,126583.19,New York,135953.88
,136472.03,93306.81,New York,72053.65
38316.34,,95876.2,California,47532.52
,148643.68,119693.58,California,113125.14
59159.78,126605.12,133087.62,New York,79713.96
102789.81,115095.95,70632.35,New York,83547.96
56822.82,136190.64,116663.2,New York,64599.3
156360.41,101312.35,77984.91,Florida,136517.56
87566.64,142449.44,95565.85,New York,98579.28
22776.28,129469.56,114876.49,California,45060.69
77268.29,100386.57,163133.32,California,95819.51
69417.68,126305.92,60679.68,Florida,58948.83
53725.07,157552.44,117074.87,Florida,67574.99
141814.32,165449.15,95675.97,California,155863.02
38826.61,140868.41,33435.71,Florida,53711.07
158758.43,,161646.61,New York,148102.93
12758.93,130267.97,0.0,California,35783.82
,153938.25,,Florida,59699.58
62808.4,150062.21,235989.4,Florida,88396.73
22808.54,147343.55,89672.43,Florida,35460.22
74324.95,114637.75,56632.71,California,80742.11
104252.67,66667.59,19003.56,New York,101145.71
30433.83,106185.77,152398.54,New York,46743.2
131183.84,135694.15,222446.19,New York,121127.68
150428.44,128113.12,106227.93,New York,129200.15
,115365.73,0.0,California,102098.25
67470.75,174574.83,122693.03,California,83052.44
65400.31,158657.56,94004.35,California,86284.29
58237.39,111050.02,111130.94,California,74772.81
172000.0,87644.53,,Florida,147584.05
91643.32,102733.52,0.0,Florida,100229.68
67746.08,119001.29,66934.06,California,99088.16
110355.77,114458.29,154952.55,Florida,111924.58
157708.27,145715.96,202497.63,California,126410.58
47420.63,136424.71,176499.4,New York,71105.6
67795.17,109379.7,746.9,New York,66077.3
19609.14,123461.35,,California,25923.28
50608.33,142605.19,68229.78,New York,54184.53
90905.93,146988.43,0.0,Florida,88857.38
150397.2,151517.14,80894.49,California,145876.37
46462.76,108032.96,14348.82,California,42744.08
172000.0,141983.7,45924.48,California,173984.83
64919.63,113858.0,79015.25,California,80470.46
55453.13,135414.92,0.0,Florida,72482.02
50932.15,77140.79,,Florida,66142.82
14158.1,126793.53,151001.84,New York,22294.82
85160.88,183000.0,278915.54,California,111119.62
242668.98237853908,152955.62,70721.24,New York,52314.62
66325.87,109247.98,131207.68,New York,80343.63
43324.42,90538.63,130059.41,New York,77390.82
89165.35,109873.17,115901.08,Florida,90515.77
109922.32,113881.03,223596.19,New York,117474.57
79384.31,156745.87,,New York,89207.95
71975.18,,3263.31,Florida,88152.33
74695.42,151883.8,66766.93,New York,78088.83
10991.19,78800.87,110234.39,New York,35700.56
65823.91,162155.69,92252.27,New York,78552.16
25164.87,131680.46,0.0,Florida,30566.02
82893.91,168311.9,189335.42,Florida,90659.61
164387.35,116206.62,124413.8,New York,156469.64
28630.58,183000.0,139533.48,California,42766.47
128520.4,97423.33,198621.08,California,126153.34
172000.0,162773.37,181289.0,California,175855.66
167353.83,93385.3,163378.96,California,151094.08
42404.94,137879.3,432556.62686445547,New York,69480.55
125415.11,140651.06,128448.6,Florida,123735.96
35325.94,153414.83,,California,68343.45
51694.03,104384.7,160315.12,California,66206.8
13012.24,126199.64,94389.37,California,32901.95
115454.09,95486.24,93367.67,New York,100523.64
41162.28,183000.0,0.0,Florida,66548.74
72485.45,150352.27,100509.12,California,67962.99
65689.26,100293.87,52074.98,New York,67040.22
26012.27,132653.53,60551.86,New York,61822.76
65312.17,164709.17,123272.45,New York,74580.07
33660.33,162176.04,43970.41,New York,30742.0
76381.01,124327.23,,New York,80513.43
360173.1706216183,129302.21,154409.64,Florida,80824.04
38552.47,92058.57,0.0,Florida,44617.46
138083.85,106818.94,105445.01,New York,136043.8
78347.26,117542.3,0.0,California,79460.55
98988.61,111657.77,126554.23,Florida,91133.84
172000.0,85465.73,0.0,New York,155363.89
128520.4,97423.33,198621.08,California,126153.34
77898.01,102364.3,47825.54,New York,101672.79
159062.02,118905.26,191542.39,New York,144415.7
155886.17,87223.86,142767.02,California,144282.65
48852.13,121970.89,67906.12,Florida,57242.28
156672.56,128277.76,201293.7,California,171736.28
12437.2,115982.38,0.0,New York,35410.58
72485.45,150352.27,100509.12,California,67962.99
109265.72,132450.14,,New York,100117.62
27554.69,,61954.05,California,37595.83
62469.86,146116.19,147059.47,California,71046.12
21570.92,159000.47,106533.11,New York,45794.94
57198.15,128308.75,114911.95,California,66706.09
24831.31,121200.66,82752.31,Florida,36971.84
30578.44,86685.15,80580.82,Florida,38519.19
41970.46,105889.28,76218.6,New York,45044.29
57738.66,,184727.23,New York,84879.85
32843.84,,180959.72,Florida,35755.55
,92403.51,67203.54,New York,87782.24
75521.38,122387.03,97992.79,Florida,78944.47
22209.15,123048.75,117010.56,New York,32385.08
81356.72,135581.37,180276.87,New York,93573.7
65760.55,118691.41,47860.21,New York,65174.92
66373.56,99713.41,358087.1221144206,New York,79401.71
,175994.49,112325.63,Florida,75905.01
98972.28,106934.56,90117.95,New York,109543.94
66259.35,163236.1,166201.48,California,76128.16
69766.19,120836.94,36069.95,New York,75859.6
83616.51,115668.27,0.0,New York,86439.84
82586.33,110516.01,203484.21,California,106821.97
92902.81,171086.02,66262.24,Florida,94787.85
97428.62,120951.1,0.0,New York,101723.04
87549.24,75851.48,128536.45,New York,91777.32
63663.35,94775.62,146793.32,California,75547.74
112798.24,133153.1,194404.07,Florida,116179.35
60673.64,112690.37,10148.89,California,73360.3
145059.18,131756.69,142336.2,New York,140778.81
42404.94,137879.3,432556.62686445547,New York,69480.55
172000.0,162773.37,181289.0,California,175855.66
172000.0,96491.42,151863.08,California,166100.61
110125.29,131444.84,228183.94,Florida,121675.83
64009.29,152981.43,67236.69,Florida,59702.65
74072.33,117610.09,90841.59,New York,73670.17
73967.01,112370.36,126536.92,Florida,83328.97
92807.26,109147.16,168381.28,New York,109354.55
11054.3,134231.71,17467.3,New York,41259.17
61451.75,115100.64,119450.04,California,82041.25
68227.81,154910.15,,California,70377.54
93877.93,116262.94,207425.72,New York,98290.6
44708.32,153602.54,18512.83,California,73580.01
38718.26,123071.36,0.0,California,52400.3
52620.39,116078.1,152309.37,Florida,65660.84
115768.29,109390.27,135175.0,California,111022.17
33748.43,126831.7,57133.3,California,36167.31
16383.21,112290.48,15671.36,New York,42041.48
111656.14,105027.3,191105.32,New York,116201.07
130640.33,98460.5,191093.46,California,124461.97
69082.77,89561.68,104267.02,California,75586.06
59870.94,81756.35,292949.71,Florida,68571.63
111520.51,152413.4,83868.39,Florida,118366.49
27642.93,101673.45,37263.34,Florida,33606.66
116640.51,108004.22,85787.17,New York,122879.39
13653.85,136192.85,167960.05,Florida,41382.6
29074.77,114371.52,143553.06,New York,25127.84
121174.85,121767.72,281102.94,California,126780.1
82888.03,118515.29,147923.83,Florida,63214.82
22245.38,128170.79,162313.92,New York,44684.73
133587.61,126837.37,236107.38,California,137298.77
105502.41,85430.98,135202.29,New York,115101.7
91833.92,136868.34,137602.77,California,100350.03
51399.55,84118.38,131028.89,New York,75211.46
43859.55,105166.05,219599.44,California,64506.95
112296.35,68837.07,108042.69,Florida,97370.47
70441.28,141866.97,148160.59,New York,76049.09
49829.23,,41131.24,California,64914.32
112798.24,133153.1,194404.07,Florida,116179.35
43624.58,149707.81,224351.79478367048,Florida,54178.61
46597.65,117287.99,0.0,Florida,50693.71
25746.05,131046.3,61825.41,California,44429.83
64152.97,135263.61,52160.7,Florida,75856.3
50761.83,132735.18,123460.0,California,56655.97
84973.04,138005.22,68477.52,Florida,78125.38
89800.63,132928.39,178003.71,Florida,96655.25
119429.56,116084.24,55746.11,Florida,117416.0
33281.46,175606.78,121816.9,New York,39659.11
62431.17,119774.21,139667.33,Florida,57891.7
,81950.79,199547.63,California,99045.89
56369.01,98419.64,112161.03,California,63015.03
87933.1,135811.8,101769.59,New York,104672.12
32974.97,136311.27,0.0,New York,39180.55
26136.61,143467.44,94057.26,California,52610.64
,95258.89,167411.33,Florida,78500.92
98685.28,143819.24,169310.85,New York,98708.31
69088.14,102182.91,79689.14,California,78138.22
125038.49,131844.62,165919.74,California,131833.97
44641.68,183000.0,31112.17,California,57110.91
101469.13,114667.62,93370.2,California,108324.44
67091.91,72728.81,175929.93,California,82722.52
,148729.39,155627.61,New York,149541.87
89513.02,93762.09,192553.56,California,91955.46
97673.03,98508.1,63752.8,Florida,84162.84
70314.15,141055.62,38098.78,Florida,69244.91
86270.8,119404.3,135957.41,California,94589.73
63961.55,145691.93,83715.37,California,77089.75
51124.01,124095.8,150357.12,California,67291.65
29450.91,165284.18,3955.74,New York,36401.66
95878.36,,93573.82,New York,91181.31
115116.63,127180.19,,California,123340.27
124971.48,71592.43,70527.72,California,118018.75
120323.89,146312.83,109075.12,Florida,120175.32
61298.95,165876.38,0.0,New York,72813.86
126697.65,114667.24,111510.73,California,132857.75
117085.91,100831.58,168090.15,New York,130989.03
71261.76,83815.37,44563.63,New York,98801.74
172000.0,109397.0,186699.14,New York,172836.87
76075.48,95385.16,78796.86,Florida,85275.17
62667.34,134124.55,149722.69,New York,67162.05
15327.03,110452.84,24026.7,California,8236.52
107878.57,105786.33,49166.91,New York,94134.46
83996.2,136198.91,21035.65,California,98720.21
18089.72,145123.0,107903.01,California,29835.31
75102.6,91794.93,118731.8,California,90611.71
96303.4,120988.34,144453.94,California,98004.05
68382.99,72653.68,86751.33,New York,77307.05
33752.36,146424.93,75956.35,California,67745.23
21591.49,110329.18,158342.64,Florida,46364.87
172000.0,100001.34,218959.66,California,159942.26
99959.94,150483.58,100012.19,Florida,98286.66
86830.99,106815.24,102871.13,New York,100493.17
63974.23,149248.77,169978.17,California,69111.16
99379.13,144441.92,218265.46,Florida,101921.54
45185.18,109662.66,11541.75,California,66839.57
96080.76,,182560.12,California,99430.33
122079.71,111780.62,137337.96,California,114986.45
172000.0,111125.02,236197.05,California,167147.05
134335.4,122248.36,141929.85,New York,137578.02
57058.37,140898.69,177682.56,New York,60033.55
42073.88,97921.97,118746.8,California,51039.75
71652.05,105572.79,167294.94,New York,66877.05
72532.74,144681.07,64374.97,Florida,77150.3
88931.54,127283.38,93935.63,New York,101937.89
52115.21,121784.72,95728.94,New York,92959.44
44945.52,115582.58,0.0,Florida,48076.47
29129.03,132962.04,82658.85,California,60263.07
123634.82,103088.44,287108.58,Florida,109803.48
118091.78,,0.0,California,125194.07
29955.07,104608.36,83648.35,New York,34235.24
65760.55,118691.41,47860.21,New York,65174.92
55568.78,144440.28,101127.33,Florida,62704.36
16650.62,120416.0,20733.96,New York,52713.89
37550.27,170837.86,9370.56,California,57157.76
71652.05,105572.79,167294.94,New York,66877.05
53605.0,113086.04,6711.21,New York,63277.35
172000.0,,107988.56,California,158266.96
76977.95,132373.53,64881.77,New York,77579.15
45237.05,83590.0,151684.76,California,74517.57
147836.7,128668.79,145699.07,Florida,146172.7
101322.42,90032.81,34970.09,California,123269.22
52697.84,134687.78,135782.69,New York,53170.57
29888.37,135973.28,217203.43,California,57178.95
95758.2,102856.9,111953.28,New York,93706.23
65010.38,114765.4,156794.0,New York,80590.58
17676.67,88368.87,117146.11,California,43328.67
49961.54,109185.41,92756.82,Florida,60626.05
172000.0,100060.94,334676.22,Florida,159039.84
120428.69,144440.4,147894.68,California,129320.92
40584.25,165591.46,34792.79,New York,51283.62
29247.47,139942.38,11442.53,New York,39949.32
98112.49,136878.3,,Florida,94208.66
61436.01,122112.0,85855.03,Florida,72940.96
112308.71,146346.41,1966.67,New York,111957.23
143133.13,157913.25,8746.49,Florida,126441.93
48843.61,144335.2,125724.18,New York,59227.24
26635.32,142038.17,79386.41,California,60537.62
86741.8,129334.29,140292.77,New York,108524.87
97660.23,81822.2,98646.01,California,104307.31
58551.6,111607.28,162180.56,California,71729.26
151718.0,183000.0,79911.67,New York,137438.32
43644.65,102075.8,95867.73,Florida,68086.86
172000.0,145362.44,,New York,172512.84
107525.27,64925.22,30979.98,Florida,95611.02
53744.82,122635.67,105775.88,California,68366.32
