val_id,date,store_branch,customer_type,payment_method,num_items,total_amount,items
90052,2026-06-17 15:00,잠실점,신규,카드,1,27000.0,닭가슴살
90053,2026-06-23 15:00,잠실점,기존,카드,5,23000.0,"감자칩,닭가슴살,양파,커피,콜라"
90054,2026-06-25 19:00,강남점,신규,카드,4,18000.0,"버터,사과,식빵,우유"
90055,2026-06-20 18:00,잠실점,기존,현금,6,30500.0,"라면,버터,시리얼,우유,커피,크루아상"
90056,2026-06-17 12:00,홍대점,기존,현금,8,72900.0,"기저귀,라면,마늘,맥주,바나나,삼겹살,상추,소고기"
90057,2026-06-21 09:00,잠실점,기존,카드,4,19300.0,"감자칩,계란,커피,콜라"
90058,2026-06-22 10:00,홍대점,신규,카드,4,32800.0,"기저귀,마늘,파스타,화장지"
90059,2026-06-24 17:00,분당점,기존,현금,4,36400.0,"기저귀,삼겹살,시리얼,우유"
90060,2026-06-18 17:00,홍대점,기존,카드,4,29900.0,"기저귀,버터,우유,치즈"
90061,2026-06-25 21:00,강남점,신규,카드,4,29100.0,"커피,크루아상,파스타소스,화장지"
90062,2026-06-23 18:00,잠실점,신규,모바일페이,4,42600.0,"기저귀,마늘,맥주,삼겹살"
90063,2026-06-18 21:00,홍대점,기존,현금,10,57800.0,"감자칩,마늘,버터,삼겹살,상추,식빵,우유,커피,콜라,크루아상"
90064,2026-06-19 21:00,홍대점,기존,카드,4,28500.0,"감자칩,기저귀,맥주,콜라"
90065,2026-06-23 14:00,잠실점,신규,카드,1,5200.0,사과
90066,2026-06-20 08:00,강남점,VIP,모바일페이,3,11000.0,"바나나,치즈,콜라"
90067,2026-06-15 21:00,강남점,신규,카드,3,12900.0,"바나나,커피,크루아상"
90068,2026-06-17 19:00,홍대점,신규,현금,3,18000.0,"시리얼,우유,파스타소스"
90069,2026-06-28 12:00,잠실점,기존,카드,4,19300.0,"감자칩,상추,커피,파스타소스"
90070,2026-06-26 17:00,분당점,기존,카드,3,24300.0,"라면,세제,크루아상"
90071,2026-06-17 18:00,잠실점,기존,카드,6,23800.0,"요거트,초콜릿,커피,크루아상,파스타,파스타소스"
90072,2026-06-22 21:00,강남점,신규,카드,3,26400.0,"라면,맥주,치즈"
90073,2026-06-16 19:00,홍대점,기존,모바일페이,3,17700.0,"커피,파스타,파스타소스"
90074,2026-06-20 09:00,분당점,기존,카드,4,17800.0,"감자칩,닭가슴살,생수,화장지"
90075,2026-06-17 12:00,홍대점,기존,모바일페이,1,8800.0,우유
90076,2026-06-18 14:00,홍대점,신규,카드,11,50600.0,"감자칩,계란,라면,마늘,맥주,삼겹살,상추,생수,세제,식빵,콜라"
90077,2026-06-15 17:00,홍대점,기존,카드,5,40200.0,"감자칩,계란,라면,소고기,콜라"
90078,2026-06-22 18:00,잠실점,신규,모바일페이,2,12800.0,"닭가슴살,우유"
90079,2026-06-26 17:00,잠실점,신규,모바일페이,4,19700.0,"라면,커피,파스타,파스타소스"
90080,2026-06-21 15:00,강남점,VIP,카드,1,4000.0,감자칩
90081,2026-06-26 14:00,강남점,기존,카드,4,39900.0,"소고기,커피,크루아상,화장지"
90082,2026-06-23 20:00,분당점,기존,카드,5,31600.0,"감자칩,삼겹살,상추,세제,콜라"
90083,2026-06-20 09:00,강남점,기존,카드,6,39000.0,"기저귀,맥주,시리얼,우유,콜라,크루아상"
90084,2026-06-26 11:00,홍대점,기존,카드,2,10400.0,"버터,우유"
90085,2026-06-18 08:00,홍대점,기존,카드,5,33100.0,"버터,생수,소고기,식빵,우유"
90086,2026-06-22 16:00,강남점,기존,현금,2,19100.0,"기저귀,생수"
90087,2026-06-22 20:00,강남점,VIP,모바일페이,3,32600.0,"기저귀,마늘,삼겹살"
90088,2026-06-19 15:00,강남점,VIP,모바일페이,8,56600.0,"기저귀,닭가슴살,맥주,버터,시리얼,우유,치즈,화장지"
90089,2026-06-21 08:00,홍대점,VIP,모바일페이,6,32300.0,"마늘,버터,삼겹살,상추,식빵,우유"
90090,2026-06-26 20:00,잠실점,신규,카드,3,18200.0,"우유,콜라,화장지"
90091,2026-06-26 21:00,분당점,기존,카드,4,18700.0,"버터,초콜릿,콜라,파스타"
90092,2026-06-18 15:00,잠실점,기존,현금,3,18000.0,"계란,콜라,화장지"
90093,2026-06-16 12:00,잠실점,신규,카드,3,19700.0,"감자칩,기저귀,콜라"
90094,2026-06-16 12:00,강남점,기존,카드,7,49300.0,"기저귀,라면,맥주,버터,사과,우유,파스타소스"
90095,2026-06-19 20:00,홍대점,기존,카드,3,15100.0,"맥주,바나나,파스타"
90096,2026-06-27 18:00,홍대점,기존,카드,3,24900.0,"마늘,삼겹살,상추"
90097,2026-06-19 17:00,잠실점,기존,모바일페이,10,50600.0,"마늘,버터,삼겹살,상추,시리얼,식빵,우유,커피,크루아상,파스타"
90098,2026-06-24 09:00,잠실점,VIP,카드,5,24900.0,"감자칩,맥주,삼겹살,상추,콜라"
90099,2026-06-23 09:00,잠실점,VIP,모바일페이,2,13300.0,"크루아상,파스타소스"
90100,2026-06-21 19:00,분당점,기존,카드,11,70700.0,"기저귀,닭가슴살,라면,마늘,버터,삼겹살,상추,식빵,우유,파스타,파스타소스"
