Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Weekly Study Hours,Performance Index
2,80.0,No,4.0,0.0,13.7,52
4,66.0,No,,7.0,27.4,51
7,,Yes,,1.0,48.8,65
7,79.0,No,5.0,9.0,49.3,69
4,87.0,No,5.0,0.0,28.1,69
4,52.0,Yes,6.0,5.0,27.5,31
1,63.0,No,7.0,8.0,7.1,40
3,57.0,Yes,5.0,6.0,21.2,36
4,91.0,No,4.0,9.0,27.6,74
9,79.0,Yes,6.0,9.0,63.1,78
5,83.0,No,,2.0,35.0,68
6,78.0,Yes,8.0,,41.5,69
8,42.0,Yes,8.0,0.0,56.1,37
3,95.0,No,6.0,1.0,21.2,76
3,41.0,No,5.0,1.0,21.4,21
4,67.0,Yes,7.0,7.0,28.4,48
3,71.0,Yes,5.0,0.0,20.4,50
5,62.0,No,7.0,4.0,34.6,47
3,47.0,No,4.0,2.0,21.2,24
2,56.0,No,4.0,0.0,14.2,30
1,89.0,Yes,4.0,1.0,7.2,63
3,97.0,Yes,5.0,9.0,22.5,78
7,64.0,Yes,4.0,7.0,49.2,56
8,42.0,No,,4.0,56.5,36
3,41.0,No,4.0,6.0,21.4,20
9,45.0,Yes,4.0,8.0,63.3,41
3,68.0,No,7.0,3.0,20.9,43
4,53.0,No,6.0,8.0,28.3,35
4,74.0,Yes,4.0,9.0,27.7,55
7,90.0,No,8.0,9.0,48.9,86
4,61.0,Yes,6.0,7.0,27.8,46
4,73.0,No,5.0,6.0,28.0,59
6,97.0,Yes,,5.0,42.9,86
1,42.0,No,5.0,5.0,6.3,12
5,74.0,Yes,4.0,2.0,35.3,59
1,54.0,Yes,5.0,8.0,6.4,27
1,76.0,No,5.0,3.0,6.8,52
5,42.0,Yes,4.0,7.0,35.4,25
6,71.0,Yes,7.0,,42.0,61
4,65.0,Yes,5.0,4.0,27.6,45
5,86.0,Yes,,6.0,34.7,73
9,54.0,Yes,4.0,7.0,63.3,52
5,64.0,No,7.0,6.0,34.7,49
8,90.0,Yes,4.0,3.0,56.1,82
7,92.0,No,9.0,1.0,49.0,87
8,98.0,Yes,5.0,9.0,55.7,97
4,53.0,No,9.0,5.0,28.9,34
1,,Yes,9.0,8.0,7.3,56
2,78.0,Yes,8.0,2.0,13.2,58
1,82.0,Yes,6.0,0.0,7.1,56
5,76.0,Yes,8.0,5.0,34.7,63
6,90.0,Yes,,8.0,42.3,80
7,81.0,Yes,9.0,4.0,48.7,74
4,61.0,Yes,7.0,1.0,28.0,44
7,73.0,No,8.0,3.0,49.2,63
3,80.0,Yes,7.0,2.0,21.3,63
7,58.0,No,5.0,9.0,48.5,49
4,83.0,No,8.0,0.0,27.9,68
6,70.0,No,7.0,1.0,41.8,58
4,93.0,No,7.0,3.0,27.7,80
4,77.0,No,,0.0,28.7,59
8,49.0,Yes,8.0,5.0,56.2,43
4,91.0,No,6.0,7.0,27.5,75
1,49.0,No,5.0,7.0,7.4,22
1,65.0,Yes,4.0,1.0,7.8,37
9,69.0,No,5.0,0.0,63.4,63
9,79.0,No,4.0,5.0,62.4,73
3,65.0,Yes,8.0,0.0,20.8,43
5,60.0,Yes,5.0,9.0,35.5,-12
6,67.0,No,6.0,2.0,41.7,54
6,63.0,Yes,4.0,8.0,42.2,51
4,95.0,Yes,9.0,5.0,28.3,78
8,62.0,No,9.0,8.0,55.6,62
4,65.0,No,4.0,0.0,28.0,45
9,71.0,No,7.0,5.0,61.7,68
1,91.0,No,4.0,,6.6,64
2,62.0,No,6.0,1.0,13.9,37
5,68.0,Yes,6.0,2.0,34.5,53
5,83.0,No,6.0,5.0,35.7,70
6,42.0,No,4.0,9.0,41.4,24
6,71.0,No,6.0,,41.8,55
8,,No,6.0,8.0,56.1,66
3,88.0,Yes,8.0,6.0,21.6,72
1,61.0,Yes,6.0,6.0,6.4,37
8,90.0,No,5.0,4.0,56.5,83
2,67.0,Yes,9.0,,14.0,43
4,94.0,Yes,4.0,5.0,27.6,74
8,68.0,Yes,4.0,5.0,56.2,64
1,69.0,Yes,4.0,3.0,7.1,41
9,87.0,No,7.0,3.0,62.8,88
5,40.0,No,4.0,9.0,35.0,23
4,47.0,Yes,8.0,9.0,27.8,31
4,69.0,Yes,,6.0,28.0,55
9,56.0,Yes,9.0,2.0,63.3,-6
3,60.0,No,8.0,1.0,21.6,39
8,46.0,No,,8.0,55.5,37
8,62.0,No,7.0,,56.9,57
7,88.0,Yes,5.0,3.0,48.2,80
1,98.0,Yes,5.0,6.0,6.9,73
6,75.0,No,7.0,7.0,42.2,66
9,,No,,7.0,63.1,83
8,60.0,Yes,7.0,9.0,55.8,55
7,,No,8.0,0.0,48.9,53
6,84.0,No,4.0,6.0,41.8,72
5,73.0,Yes,7.0,5.0,34.8,57
7,68.0,No,6.0,3.0,49.3,58
7,86.0,No,5.0,7.0,49.1,79
6,89.0,Yes,4.0,5.0,41.7,80
2,63.0,No,4.0,0.0,14.4,37
1,47.0,No,8.0,9.0,7.1,24
9,45.0,No,4.0,9.0,63.3,40
5,79.0,No,7.0,8.0,35.3,68
1,96.0,No,7.0,5.0,6.7,71
7,68.0,No,7.0,6.0,48.8,58
4,90.0,No,4.0,1.0,28.3,70
2,50.0,Yes,6.0,6.0,14.2,28
2,43.0,No,5.0,6.0,14.0,18
6,76.0,Yes,6.0,,42.0,65
6,58.0,No,,7.0,42.5,49
8,82.0,No,8.0,3.0,55.8,79
3,90.0,No,6.0,5.0,21.2,72
8,45.0,Yes,6.0,2.0,55.9,38
7,99.0,No,4.0,5.0,48.9,89
3,77.0,Yes,8.0,5.0,21.4,61
9,85.0,No,9.0,1.0,63.3,80
5,71.0,Yes,4.0,6.0,35.3,54
5,51.0,Yes,,1.0,35.5,39
4,58.0,Yes,9.0,7.0,28.0,41
8,56.0,Yes,5.0,6.0,56.3,54
1,68.0,Yes,7.0,4.0,6.9,41
3,53.0,Yes,4.0,2.0,21.1,30
7,83.0,Yes,7.0,1.0,48.9,74
4,88.0,Yes,,0.0,28.0,74
6,49.0,No,,2.0,42.2,36
8,46.0,No,6.0,5.0,55.7,40
4,51.0,No,5.0,,28.8,32
6,58.0,Yes,8.0,2.0,41.6,45
6,70.0,Yes,4.0,4.0,41.5,59
3,69.0,No,7.0,5.0,21.5,48
3,51.0,No,6.0,4.0,21.3,33
3,74.0,No,7.0,3.0,21.2,54
2,96.0,No,6.0,7.0,14.3,75
5,80.0,Yes,7.0,5.0,35.0,65
5,75.0,Yes,,3.0,34.6,60
3,50.0,Yes,5.0,5.0,21.0,30
9,66.0,No,8.0,5.0,62.7,65
2,65.0,Yes,5.0,3.0,14.4,45
5,63.0,No,,6.0,34.9,52
2,78.0,Yes,6.0,4.0,13.7,55
2,59.0,Yes,5.0,6.0,13.9,38
3,77.0,Yes,4.0,1.0,21.2,56
2,57.0,Yes,7.0,5.0,13.8,34
6,69.0,No,,5.0,41.7,56
5,81.0,No,7.0,9.0,35.1,66
15,99.0,Yes,9.0,3.0,105.1,89
8,,No,7.0,,55.8,88
5,95.0,Yes,8.0,1.0,34.8,83
6,59.0,No,8.0,0.0,42.1,45
3,54.0,Yes,5.0,7.0,20.4,35
1,77.0,No,,5.0,6.4,52
2,61.0,Yes,8.0,0.0,13.7,42
2,40.0,No,4.0,0.0,13.9,13
8,62.0,Yes,,2.0,56.1,58
2,49.0,Yes,8.0,3.0,14.6,23
2,85.0,Yes,7.0,2.0,14.3,64
9,45.0,Yes,7.0,5.0,62.9,45
1,40.0,Yes,9.0,6.0,7.0,15
5,70.0,Yes,9.0,,34.6,61
8,45.0,Yes,9.0,7.0,56.0,40
3,44.0,No,6.0,3.0,20.9,130
9,93.0,No,7.0,5.0,63.1,92
8,68.0,No,7.0,3.0,55.7,61
5,,No,5.0,0.0,35.2,40
6,84.0,Yes,8.0,8.0,42.6,76
5,94.0,No,8.0,8.0,35.0,81
9,92.0,Yes,5.0,,63.2,90
9,87.0,No,7.0,9.0,63.3,86
7,47.0,No,7.0,1.0,48.8,37
8,99.0,Yes,6.0,1.0,56.1,93
1,67.0,No,4.0,6.0,7.0,39
7,40.0,Yes,9.0,6.0,49.0,34
9,90.0,No,5.0,8.0,62.7,85
4,90.0,Yes,9.0,8.0,28.0,76
1,40.0,Yes,8.0,9.0,7.2,18
9,85.0,No,5.0,2.0,63.6,81
3,49.0,Yes,4.0,0.0,21.4,26
2,85.0,Yes,9.0,1.0,14.9,61
5,77.0,Yes,5.0,,34.7,62
9,44.0,Yes,4.0,8.0,63.3,39
6,83.0,Yes,5.0,4.0,42.1,70
2,89.0,Yes,5.0,5.0,14.9,70
7,81.0,Yes,9.0,,48.7,75
6,,Yes,4.0,0.0,41.7,38
5,52.0,Yes,5.0,2.0,34.8,36
3,47.0,Yes,4.0,1.0,20.2,28
2,89.0,No,8.0,1.0,13.8,66
7,65.0,Yes,6.0,1.0,48.7,54
3,47.0,No,9.0,4.0,21.1,25
1,85.0,Yes,7.0,8.0,7.1,59
7,54.0,Yes,4.0,5.0,49.8,42
9,44.0,No,4.0,7.0,63.4,37
8,76.0,Yes,6.0,5.0,55.8,72
3,75.0,Yes,5.0,7.0,20.6,55
2,67.0,No,8.0,7.0,14.2,47
3,46.0,No,5.0,4.0,20.5,21
2,63.0,No,5.0,3.0,14.7,35
5,48.0,Yes,7.0,7.0,35.5,33
3,56.0,Yes,4.0,4.0,20.8,35
2,91.0,Yes,7.0,1.0,13.3,66
9,50.0,Yes,7.0,5.0,63.5,51
7,62.0,Yes,4.0,7.0,49.0,55
3,63.0,Yes,9.0,5.0,21.5,45
5,63.0,No,9.0,7.0,34.4,51
2,75.0,No,4.0,4.0,13.8,50
5,43.0,No,5.0,6.0,35.0,29
1,51.0,Yes,8.0,8.0,7.0,27
2,87.0,No,4.0,9.0,13.8,67
9,84.0,No,6.0,6.0,63.2,79
6,60.0,Yes,4.0,3.0,41.6,46
1,41.0,No,7.0,3.0,6.9,12
7,96.0,No,,3.0,49.0,84
9,52.0,No,7.0,4.0,63.2,49
3,72.0,Yes,5.0,0.0,21.3,46
17,78.0,No,7.0,0.0,118.6,70
6,52.0,No,4.0,1.0,41.4,37
7,74.0,No,7.0,1.0,49.5,64
8,77.0,Yes,7.0,9.0,56.1,70
4,,No,7.0,2.0,27.7,37
9,45.0,No,7.0,4.0,63.6,42
1,76.0,Yes,7.0,3.0,7.0,54
9,46.0,No,6.0,2.0,63.5,37
4,47.0,Yes,7.0,0.0,28.0,28
2,94.0,No,7.0,8.0,14.8,72
8,51.0,No,5.0,2.0,56.7,44
1,90.0,Yes,5.0,5.0,6.9,67
2,82.0,Yes,6.0,6.0,14.4,60
9,66.0,No,9.0,3.0,63.3,61
5,85.0,No,9.0,4.0,35.5,73
8,47.0,No,9.0,5.0,55.6,40
3,,No,5.0,9.0,21.3,76
6,56.0,Yes,5.0,4.0,42.4,45
4,60.0,Yes,7.0,8.0,27.3,45
7,79.0,Yes,,6.0,48.5,72
2,85.0,Yes,7.0,8.0,13.2,64
7,53.0,No,6.0,,48.9,42
5,90.0,No,9.0,7.0,35.3,74
3,42.0,No,4.0,5.0,21.6,20
5,82.0,Yes,,7.0,35.0,72
5,48.0,Yes,8.0,1.0,35.7,35
3,67.0,Yes,8.0,,20.4,52
8,76.0,No,8.0,8.0,55.3,70
6,40.0,No,,9.0,42.0,29
1,76.0,Yes,4.0,5.0,7.2,48
8,59.0,Yes,9.0,8.0,56.0,55
3,73.0,No,6.0,4.0,20.2,52
2,57.0,Yes,7.0,0.0,14.0,34
9,91.0,Yes,4.0,5.0,62.5,89
2,66.0,No,9.0,5.0,14.3,45
9,88.0,No,6.0,7.0,63.1,89
9,42.0,Yes,9.0,6.0,62.6,41
3,,No,7.0,7.0,20.8,43
1,56.0,No,6.0,2.0,6.6,31
9,67.0,Yes,5.0,6.0,63.0,62
4,66.0,Yes,5.0,4.0,28.4,48
1,99.0,Yes,9.0,2.0,6.6,76
8,80.0,Yes,4.0,2.0,56.2,70
2,79.0,Yes,4.0,8.0,13.8,56
2,75.0,Yes,,3.0,13.7,53
7,43.0,Yes,6.0,8.0,49.0,35
7,59.0,Yes,5.0,,48.6,55
7,91.0,No,8.0,1.0,48.8,82
4,64.0,No,7.0,3.0,27.5,44
4,75.0,No,6.0,3.0,28.8,61
6,80.0,No,7.0,3.0,42.0,69
8,79.0,No,8.0,8.0,55.7,75
8,77.0,Yes,5.0,8.0,56.1,69
8,82.0,Yes,6.0,5.0,56.0,76
4,51.0,Yes,5.0,,27.9,36
2,67.0,Yes,6.0,6.0,14.2,44
5,92.0,Yes,8.0,0.0,35.3,79
3,41.0,No,4.0,1.0,20.8,18
8,48.0,No,5.0,4.0,55.8,40
8,70.0,Yes,6.0,7.0,55.9,64
8,65.0,No,4.0,8.0,55.1,57
4,93.0,Yes,7.0,1.0,27.4,73
7,92.0,No,,7.0,49.5,86
3,57.0,No,7.0,6.0,21.7,33
2,65.0,No,6.0,0.0,13.9,40
6,91.0,Yes,9.0,,42.2,86
2,62.0,No,4.0,9.0,14.1,40
3,56.0,No,4.0,5.0,22.2,32
9,67.0,Yes,8.0,8.0,63.4,68
3,73.0,Yes,,9.0,20.9,50
9,52.0,No,6.0,5.0,62.6,50
1,76.0,Yes,7.0,2.0,6.4,51
1,60.0,No,9.0,5.0,7.1,32
8,68.0,No,,9.0,55.7,64
2,73.0,No,7.0,2.0,13.4,52
1,87.0,Yes,8.0,7.0,6.7,64
1,52.0,No,5.0,8.0,6.6,24
9,80.0,Yes,4.0,4.0,63.7,75
9,92.0,Yes,7.0,3.0,63.4,93
4,96.0,Yes,4.0,0.0,28.0,76
7,75.0,No,7.0,1.0,49.6,66
7,93.0,Yes,5.0,6.0,49.0,87
8,64.0,No,5.0,0.0,55.7,56
1,51.0,No,8.0,3.0,7.6,23
5,83.0,Yes,5.0,6.0,35.2,69
2,98.0,Yes,4.0,,13.6,75
7,99.0,Yes,9.0,1.0,48.9,91
8,56.0,No,9.0,,55.6,49
5,84.0,No,8.0,0.0,34.4,70
7,63.0,No,6.0,1.0,49.4,50
3,56.0,Yes,6.0,4.0,21.8,36
5,56.0,No,8.0,0.0,34.4,40
4,45.0,Yes,7.0,4.0,28.2,25
3,92.0,Yes,5.0,3.0,20.7,71
9,67.0,Yes,4.0,3.0,62.8,64
5,42.0,Yes,7.0,8.0,34.8,30
7,46.0,No,7.0,4.0,48.7,37
4,90.0,Yes,5.0,5.0,28.0,74
6,94.0,Yes,7.0,7.0,41.7,86
5,98.0,Yes,8.0,3.0,35.1,86
8,66.0,No,4.0,7.0,56.0,59
25,89.0,Yes,5.0,3.0,174.9,86
7,41.0,Yes,9.0,0.0,48.6,32
7,,Yes,8.0,8.0,48.8,95
7,56.0,No,4.0,5.0,49.3,46
9,97.0,No,5.0,7.0,63.2,95
4,59.0,Yes,8.0,0.0,27.6,42
4,76.0,No,7.0,9.0,28.0,57
4,66.0,No,6.0,7.0,28.3,50
6,89.0,Yes,8.0,9.0,41.3,78
7,86.0,Yes,9.0,1.0,49.2,84
3,73.0,Yes,8.0,1.0,20.7,54
1,59.0,Yes,8.0,5.0,7.2,34
7,85.0,No,8.0,7.0,48.7,77
5,94.0,Yes,7.0,8.0,34.3,79
3,70.0,No,5.0,1.0,20.3,49
7,94.0,Yes,4.0,2.0,49.0,86
2,66.0,No,9.0,4.0,14.1,42
7,56.0,Yes,,3.0,48.6,49
7,45.0,Yes,7.0,2.0,49.3,36
3,61.0,Yes,8.0,3.0,20.3,42
9,46.0,Yes,4.0,4.0,63.0,44
7,65.0,Yes,8.0,2.0,48.5,56
8,74.0,Yes,,1.0,55.7,67
4,88.0,No,9.0,7.0,28.0,72
5,47.0,No,7.0,9.0,34.7,34
9,60.0,Yes,,3.0,62.8,56
4,50.0,Yes,5.0,8.0,28.4,32
7,80.0,No,8.0,6.0,48.8,74
5,68.0,No,4.0,8.0,35.3,52
7,99.0,No,6.0,6.0,48.5,89
7,81.0,No,8.0,1.0,49.2,72
8,78.0,Yes,8.0,3.0,56.6,76
6,68.0,Yes,9.0,7.0,41.0,61
8,61.0,No,5.0,7.0,55.7,54
6,98.0,No,5.0,,42.2,87
1,78.0,No,,1.0,6.9,50
6,62.0,Yes,,5.0,42.1,49
7,67.0,Yes,5.0,2.0,48.8,58
8,43.0,No,6.0,4.0,56.0,36
8,42.0,No,4.0,0.0,55.9,31
8,62.0,Yes,5.0,6.0,56.5,58
6,45.0,No,4.0,5.0,42.1,36
4,69.0,Yes,4.0,1.0,28.1,53
5,65.0,No,9.0,6.0,34.8,53
6,57.0,Yes,8.0,3.0,41.8,46
2,73.0,No,4.0,0.0,13.8,50
9,83.0,Yes,6.0,8.0,63.2,80
4,82.0,Yes,8.0,6.0,27.8,68
1,99.0,No,6.0,9.0,7.1,76
2,70.0,No,7.0,9.0,14.8,48
6,62.0,No,5.0,7.0,42.3,50
9,52.0,Yes,7.0,6.0,62.9,52
5,60.0,No,6.0,9.0,35.5,44
3,58.0,No,7.0,0.0,20.8,37
8,54.0,No,4.0,2.0,55.2,48
4,51.0,Yes,,0.0,27.6,36
9,54.0,Yes,,6.0,62.3,55
3,89.0,No,9.0,3.0,20.9,69
4,40.0,No,9.0,9.0,28.0,25
3,75.0,Yes,6.0,,21.7,57
6,99.0,Yes,5.0,9.0,42.1,93
8,93.0,No,7.0,3.0,55.9,86
4,,Yes,7.0,2.0,28.3,82
2,77.0,No,7.0,8.0,13.1,52
2,90.0,No,9.0,0.0,14.1,67
8,56.0,No,7.0,0.0,56.3,50
9,54.0,No,8.0,0.0,62.4,49
4,75.0,No,8.0,9.0,28.5,61
3,68.0,No,7.0,9.0,21.1,46
5,77.0,No,,2.0,34.8,61
3,71.0,No,4.0,5.0,21.3,52
1,46.0,Yes,4.0,7.0,7.9,21
8,51.0,Yes,9.0,0.0,56.1,44
1,51.0,Yes,8.0,0.0,7.1,26
3,44.0,No,6.0,9.0,20.8,26
7,67.0,Yes,5.0,0.0,48.7,59
9,51.0,No,9.0,0.0,63.3,47
8,90.0,Yes,,2.0,55.7,84
4,57.0,Yes,4.0,7.0,28.0,38
7,83.0,No,6.0,0.0,48.8,73
6,,No,9.0,4.0,42.2,90
9,77.0,No,7.0,1.0,63.1,72
5,60.0,No,7.0,0.0,35.4,44
5,74.0,No,5.0,5.0,34.8,63
6,97.0,Yes,5.0,4.0,41.9,87
3,78.0,Yes,5.0,8.0,20.6,57
5,57.0,Yes,4.0,5.0,34.8,41
6,83.0,Yes,7.0,1.0,42.2,71
9,51.0,No,6.0,1.0,63.3,44
2,79.0,No,6.0,6.0,13.6,58
9,93.0,Yes,8.0,3.0,63.3,92
2,,No,9.0,3.0,14.5,47
2,66.0,Yes,4.0,0.0,14.2,45
5,88.0,No,6.0,9.0,35.8,77
3,74.0,Yes,4.0,1.0,20.7,50
8,45.0,Yes,9.0,9.0,55.5,44
7,70.0,Yes,8.0,4.0,48.3,60
1,82.0,Yes,9.0,6.0,7.6,115
4,63.0,Yes,5.0,9.0,28.3,47
6,93.0,No,6.0,6.0,42.0,84
9,89.0,Yes,9.0,8.0,63.1,90
4,59.0,No,,3.0,27.5,42
6,86.0,No,6.0,5.0,43.0,74
