driver_id,avg_speed_kmh,mileage_km,night_driving_ratio,hard_brake_count,hard_accel_count,phone_usage_minutes,years_licensed,claim_filed
10557,36.1,16785.2,0.0362,0.0,0.0,0.0,35.39,0
12967,61.93,15951.5,0.1492,3.0,0.0,0.89,35.25,0
16792,97.63,15677.3,0.5454,10.0,8.0,15.78,24.81,1
18699,92.1,11384.8,0.3054,10.0,7.0,14.16,6.48,1
14258,56.12,7860.9,0.2233,2.0,2.0,2.63,10.61,0
11835,57.43,8595.5,0.1629,2.0,1.0,7.35,12.52,1
13808,50.75,8815.6,0.1953,3.0,2.0,6.71,7.02,0
13053,90.81,15718.4,0.5619,9.0,7.0,17.93,28.6,1
16170,77.68,15252.5,0.5349,8.0,10.0,13.02,37.46,0
19885,86.57,11058.5,0.3563,8.0,6.0,16.07,8.26,1
19717,65.01,15411.7,0.2472,5.0,5.0,6.93,23.07,0
13645,58.99,11276.8,0.1904,4.0,3.0,3.06,27.27,0
17633,79.56,8568.2,0.1897,4.0,4.0,8.52,13.39,1
17400,82.33,14940.4,0.4314,8.0,8.0,14.65,17.52,0
10641,40.13,14993.2,0.0,0.0,0.0,2.37,27.01,1
15293,78.19,13682.6,0.378,7.0,7.0,14.43,15.3,1
18271,71.88,8879.3,0.3566,7.0,6.0,13.97,2.21,1
19543,53.07,13896.2,0.1564,0.0,0.0,0.0,23.05,0
16212,61.58,14955.1,0.0659,2.0,2.0,2.62,39.4,0
10835,78.29,9677.5,0.3287,5.0,4.0,13.86,28.25,0
15538,74.88,9380.9,0.2254,4.0,3.0,7.63,21.48,0
14707,62.12,14115.4,0.1171,2.0,1.0,7.48,4.64,0
15737,66.93,15466.3,0.1571,3.0,4.0,4.59,24.14,0
10355,63.25,15063.4,0.2286,3.0,3.0,5.75,34.01,0
18318,97.84,14420.2,0.5674,11.0,8.0,17.97,21.7,1
19270,83.86,16110.7,0.3455,5.0,5.0,11.32,36.03,0
17049,77.42,14611.8,0.3712,7.0,5.0,7.92,26.55,0
15616,267.5,-13654.4,1.2709,87.0,-45.4,218.53,-3.53,1
11166,248.48,7385.6,2.3879,153.7,122.8,36.19,8.62,0
11839,111.16,8358.1,0.6106,16.0,11.0,25.33,21.53,1
16289,48.94,8707.4,0.137,3.0,2.0,5.53,20.38,0
18908,89.99,7506.7,0.4497,8.0,7.0,14.62,5.32,1
11726,86.52,20800.0,0.3486,7.0,6.0,15.18,24.64,0
16483,-40.57,98936.8,2.6119,85.6,215.6,111.46,9.89,0
16689,70.58,7070.1,0.2976,6.0,5.0,14.06,3.02,0
12744,68.17,10879.8,0.3202,4.0,4.0,9.03,8.19,1
17584,71.69,9850.6,0.2446,4.0,3.0,9.92,13.89,1
16319,62.42,10440.2,0.2623,4.0,4.0,6.06,10.71,0
14144,99.89,11139.5,0.4732,9.0,8.0,22.71,27.21,1
14653,315.88,12898.0,-0.7767,155.4,141.5,-19.74,21.96,0
10780,66.57,15610.5,0.1668,4.0,2.0,11.15,31.93,0
16552,74.04,7980.9,0.307,5.0,5.0,12.79,4.67,1
13561,80.92,5884.3,0.3188,7.0,5.0,12.9,8.53,0
10607,44.95,11542.1,0.0271,1.0,0.0,1.37,25.28,0
16796,98.01,12573.6,0.7037,13.0,12.0,21.2,13.92,1
15223,88.01,8041.5,0.4217,10.0,10.0,20.1,4.42,1
13316,85.02,11236.2,0.3516,6.0,3.0,14.79,3.92,1
17349,52.13,14747.7,0.1484,4.0,3.0,4.82,25.55,0
11427,72.33,17250.2,0.2323,5.0,3.0,6.33,19.86,0
19988,66.64,21500.3,0.2221,4.0,4.0,7.86,39.48,0
11557,65.2,9996.5,0.2523,5.0,3.0,11.0,6.32,1
14046,100.83,13702.3,0.7337,9.0,8.0,19.38,10.55,1
14662,86.62,17921.7,0.3761,8.0,6.0,15.3,30.3,0
15425,60.83,8056.4,0.1331,3.0,2.0,3.12,6.07,0
14108,76.44,4468.8,0.209,4.0,4.0,7.31,16.05,1
17717,61.62,10206.3,0.2467,5.0,5.0,8.63,8.81,1
10484,65.63,5603.4,0.1884,3.0,2.0,11.99,4.5,1
16668,63.67,16690.5,0.3828,4.0,3.0,7.22,31.29,0
19411,78.02,12662.5,0.2481,4.0,5.0,10.39,19.88,0
10006,32.36,19833.5,0.047,1.0,0.0,2.23,32.17,0
10798,43.46,15389.8,0.0094,0.0,0.0,0.0,23.78,0
12857,66.53,17416.4,0.2173,4.0,4.0,9.58,35.15,0
11963,68.44,18952.0,0.2243,4.0,4.0,0.71,39.78,0
12422,65.72,18678.4,0.2252,5.0,4.0,4.5,26.21,0
16100,78.32,6313.6,0.4115,6.0,4.0,12.77,1.04,1
12206,55.46,20490.6,0.2711,4.0,2.0,8.12,30.12,0
14919,44.86,10305.3,0.1558,0.0,1.0,2.67,10.05,0
10482,55.69,10938.4,0.0448,1.0,2.0,4.71,16.34,0
17710,84.73,15169.0,0.3629,9.0,7.0,13.87,27.64,0
10535,47.35,13101.1,0.0,2.0,1.0,0.11,25.63,0
12861,70.58,7311.1,0.3626,7.0,3.0,10.0,3.08,1
10821,44.11,18065.6,0.0971,1.0,1.0,3.2,34.81,0
14686,77.31,8820.9,0.2986,6.0,6.0,11.89,11.23,1
10716,226.69,-34729.2,0.1432,26.4,135.1,-98.22,39.86,1
12320,86.85,14419.5,0.3573,5.0,6.0,16.69,24.55,0
17688,65.26,13926.5,0.2588,4.0,2.0,9.17,24.02,0
18709,83.32,11522.3,0.4217,10.0,5.0,9.48,27.72,0
19446,74.57,4856.5,0.3723,7.0,7.0,14.71,10.9,1
19162,63.12,17681.9,0.2187,4.0,3.0,7.8,20.93,0
15386,51.7,15906.9,0.1546,3.0,2.0,7.12,37.87,0
11271,36.68,12111.9,0.0952,0.0,0.0,3.27,24.25,0
15574,47.0,12754.9,0.0464,0.0,0.0,0.67,33.09,0
14556,45.72,8446.4,0.1184,2.0,0.0,5.11,13.75,0
19542,78.57,12104.2,0.49,8.0,7.0,13.97,13.82,1
10024,97.53,17539.0,0.5005,9.0,6.0,24.45,31.05,1
19535,37.17,17080.7,0.0,0.0,0.0,0.0,38.32,0
16231,76.98,14183.6,0.3291,6.0,5.0,9.57,23.37,0
13503,69.94,10257.0,0.3313,5.0,5.0,11.39,16.87,1
15240,91.98,12451.3,0.562,8.0,7.0,19.31,12.6,0
14499,72.61,16517.0,0.2876,6.0,5.0,9.17,16.0,0
13555,54.71,10079.3,0.1844,1.0,2.0,3.22,11.54,0
15624,68.86,12092.9,0.3517,3.0,4.0,15.77,35.52,0
19778,51.46,11749.3,0.1799,1.0,0.0,2.4,24.34,0
17667,85.81,17591.3,0.3928,8.0,6.0,14.58,34.89,0
15975,409.35,161637.8,1.3465,101.9,48.5,172.08,66.49,0
12410,60.0,10300.7,0.2751,2.0,1.0,6.03,4.15,1
19360,-4.12,71185.7,1.1155,16.2,-43.4,-72.21,63.7,0
13632,382.55,5249.7,-1.3508,89.4,127.2,366.83,60.54,1
19800,80.46,11965.9,0.3096,7.0,5.0,15.1,15.45,0
16582,71.79,15372.5,0.2561,3.0,2.0,7.08,30.49,0
16617,80.94,9147.9,0.2956,5.0,5.0,12.05,14.35,1
11988,86.52,12324.6,0.3675,7.0,5.0,13.9,16.97,0
13188,292.92,126084.2,1.5389,265.6,-7.3,134.51,63.2,0
11303,69.13,15981.7,0.3272,7.0,4.0,10.71,39.64,1
18425,77.7,13823.6,0.3098,7.0,4.0,10.28,19.19,0
10787,81.02,10600.5,0.3886,7.0,6.0,12.76,9.34,0
19917,50.46,15060.9,0.0519,3.0,0.0,3.43,28.93,0
19924,44.88,11263.1,0.1582,2.0,1.0,6.77,11.32,0
19394,54.66,11115.2,0.0449,0.0,1.0,2.62,28.02,0
18719,-67.71,180603.7,-2.4205,38.1,116.4,155.84,56.55,1
18373,73.73,15462.6,0.2466,5.0,4.0,9.11,34.91,0
16600,70.25,11007.3,0.4254,6.0,5.0,16.05,27.93,0
13123,59.12,7890.5,0.1881,2.0,2.0,8.28,2.53,0
13757,70.59,13845.6,0.2398,5.0,6.0,11.58,20.94,0
16287,39.09,16692.1,0.0,0.0,0.0,0.0,9.58,0
18798,56.81,11649.4,0.0713,1.0,2.0,0.0,21.12,0
10357,61.36,19596.1,0.0,2.0,1.0,4.01,34.22,0
18808,58.71,14527.1,0.3504,6.0,4.0,15.21,13.17,0
10578,55.38,11783.5,0.3298,3.0,4.0,8.61,21.49,0
18663,69.91,14353.5,0.2896,4.0,6.0,6.42,24.56,0
12172,80.35,22418.0,0.3416,7.0,5.0,13.08,39.73,0
10843,65.76,14516.7,0.2814,5.0,4.0,9.68,35.81,0
18268,72.86,18919.8,0.3627,5.0,4.0,13.02,39.7,0
19248,89.55,13253.7,0.3361,6.0,5.0,8.83,22.25,0
16931,77.35,13913.1,0.4536,6.0,6.0,14.72,19.43,0
17319,101.62,16119.9,0.594,10.0,9.0,20.1,20.07,1
10164,74.92,15965.4,0.1924,4.0,4.0,12.0,18.2,0
12387,94.06,19692.0,0.3445,8.0,6.0,10.02,26.27,0
11046,76.06,14813.6,0.2393,5.0,5.0,10.58,16.37,0
18167,64.92,9948.8,0.1713,3.0,2.0,5.18,11.94,0
13047,84.2,16755.1,0.4459,10.0,8.0,13.19,26.06,0
10157,33.75,12807.1,0.0,0.0,0.0,0.0,8.52,1
18277,82.06,13830.4,0.4788,8.0,7.0,13.47,14.65,1
16165,70.52,13980.4,0.2601,3.0,4.0,12.84,10.7,0
12990,94.05,10067.1,0.4654,7.0,7.0,21.15,17.01,1
19812,88.31,6965.8,0.4098,9.0,6.0,15.5,3.3,1
19087,68.87,14920.1,0.3268,5.0,4.0,9.45,27.01,0
14639,81.39,15690.4,0.5198,8.0,7.0,18.47,16.25,0
13791,83.07,11218.8,0.3777,8.0,6.0,13.36,21.66,0
19206,71.6,15718.3,0.3633,3.0,2.0,9.66,14.5,0
11389,78.79,14805.6,0.481,7.0,5.0,11.49,25.19,0
13366,67.18,10789.1,0.1721,4.0,4.0,9.81,9.45,1
10632,-130.65,177971.8,-0.4,228.0,110.0,6.27,39.11,1
18436,99.74,7773.6,0.536,10.0,8.0,9.29,8.19,1
14469,66.93,10485.0,0.1103,4.0,1.0,12.27,3.99,0
19499,49.3,16951.5,0.1986,1.0,1.0,3.65,32.79,0
16644,64.84,15935.5,0.2164,6.0,3.0,7.07,25.67,0
12828,90.39,16247.3,0.5272,10.0,8.0,16.92,20.53,1
19965,87.68,13376.9,0.3335,5.0,5.0,12.33,17.31,0
14037,85.53,7484.1,0.3244,7.0,6.0,9.47,3.5,1
17062,61.91,16656.0,0.1252,3.0,3.0,2.65,14.36,0
10706,88.76,19981.3,0.4366,9.0,6.0,13.89,17.32,1
17210,65.97,9793.5,0.2372,6.0,4.0,11.62,6.99,1
13607,92.71,13976.2,0.3699,10.0,7.0,19.45,14.22,1
18311,93.65,10550.6,0.4474,9.0,8.0,15.17,1.55,1
10603,88.47,10407.2,0.2672,6.0,7.0,17.37,6.44,0
12097,93.9,16165.7,0.4869,10.0,8.0,23.29,22.79,0
15426,66.03,13263.3,0.2825,5.0,3.0,8.72,32.95,0
10470,78.31,2662.7,0.2464,7.0,6.0,13.79,3.36,1
13471,79.72,10257.2,0.4785,7.0,5.0,16.36,18.01,0
11034,72.23,17536.4,0.3203,5.0,3.0,13.83,30.3,0
10125,83.18,15388.8,0.3944,9.0,6.0,15.05,24.91,1
18920,60.86,13764.1,0.2168,5.0,4.0,11.8,13.65,0
14181,265.84,36671.5,1.7498,-2.7,166.1,14.77,37.78,0
10642,79.18,11734.7,0.3791,7.0,5.0,17.89,2.68,1
14948,62.93,13633.4,0.2187,2.0,3.0,5.7,25.97,1
11232,82.88,18347.5,0.3202,6.0,5.0,12.68,22.3,0
17107,74.38,20598.7,0.1663,4.0,4.0,12.98,34.29,0
17090,73.06,7385.5,0.424,5.0,6.0,8.28,8.1,1
14657,50.98,17942.7,0.1422,2.0,2.0,5.63,30.24,0
10924,99.31,22438.5,0.5314,11.0,9.0,17.41,38.45,0
14805,77.74,15239.5,0.326,7.0,4.0,12.54,24.81,0
17983,42.04,11305.1,0.0338,0.0,1.0,0.83,16.67,0
10522,59.66,20004.0,0.1736,5.0,2.0,5.83,17.65,0
13650,68.69,19120.7,0.3378,7.0,4.0,8.27,35.18,0
10849,79.95,18902.0,0.3623,6.0,5.0,13.33,37.83,0
11395,66.51,13314.8,0.2975,6.0,5.0,10.42,26.56,0
17139,67.28,14201.8,0.3698,7.0,5.0,10.12,7.81,1
17130,71.29,6418.4,0.2896,4.0,4.0,8.11,4.47,0
13011,72.26,14797.6,0.2541,3.0,4.0,10.42,6.56,1
19104,78.49,9791.9,0.2867,7.0,6.0,14.84,16.23,0
12037,51.0,15529.7,0.0667,1.0,1.0,7.82,30.38,0
16137,56.06,19114.4,0.0871,3.0,3.0,5.41,33.3,0
13279,382.55,18815.6,-1.3508,89.4,127.2,366.83,25.09,0
12842,83.23,21493.0,0.4321,7.0,4.0,14.69,33.34,0
11465,68.1,17595.4,0.4455,6.0,5.0,7.46,32.31,0
17096,79.77,7188.0,0.247,6.0,4.0,7.45,11.9,0
11820,58.07,16204.3,0.2356,4.0,3.0,8.43,32.78,0
19655,77.41,9160.5,0.4606,8.0,8.0,14.61,3.37,1
17904,74.08,18046.3,0.2835,7.0,6.0,13.03,37.93,0
11413,81.3,20189.1,0.4991,8.0,5.0,17.79,37.82,0
10032,63.72,12255.6,0.2982,3.0,2.0,8.34,30.52,0
16919,74.24,12505.2,0.3848,6.0,4.0,15.39,14.8,0
14896,106.7,15875.5,0.621,11.0,8.0,20.56,32.96,0
13167,32.06,149711.8,2.9626,-25.3,5.0,320.54,63.64,0
17589,92.33,15100.0,0.573,9.0,7.0,14.39,36.62,0
10391,37.51,13814.6,0.031,2.0,1.0,2.9,34.64,0
15577,76.03,16034.9,0.3831,6.0,5.0,11.83,11.55,1
14918,64.5,10668.6,0.2678,6.0,4.0,9.19,30.8,0
17841,63.3,17347.4,0.0945,4.0,1.0,3.29,13.92,0
18895,55.2,17307.6,0.2379,4.0,3.0,11.75,37.76,0
11549,91.4,10625.2,0.4584,9.0,5.0,17.6,23.04,0
11631,85.37,11462.8,0.5819,8.0,9.0,18.42,13.83,1
15619,73.3,18330.8,0.2507,5.0,4.0,8.0,39.72,0
13382,76.76,17664.2,0.356,6.0,5.0,15.15,39.49,0
15835,72.17,19812.8,0.3501,7.0,3.0,15.23,34.42,0
11198,55.84,10438.3,0.0079,1.0,0.0,0.77,11.7,0
12265,48.24,10992.5,0.0482,2.0,1.0,1.98,12.32,0
19776,93.92,16364.9,0.511,7.0,6.0,13.17,36.28,0
10434,66.49,15182.0,0.2956,5.0,4.0,10.96,12.22,0
18885,461.64,11486.1,-0.5983,186.8,156.4,391.86,15.51,0
15985,69.89,11224.5,0.2671,5.0,4.0,11.35,16.13,0
19171,76.19,13163.4,0.4033,6.0,5.0,10.44,13.39,0
11445,425.27,-22393.6,2.4542,154.4,-50.0,281.14,77.81,0
16181,28.72,54980.8,1.8226,150.7,19.3,81.01,37.47,1
18731,83.85,9621.2,0.3577,6.0,5.0,14.35,10.3,0
10585,101.24,15016.6,0.6731,10.0,9.0,25.05,31.79,1
19619,89.32,8696.9,0.2967,8.0,6.0,16.42,9.19,1
12000,67.31,7884.6,0.2299,4.0,3.0,8.82,5.94,0
13489,-43.49,62516.0,2.9814,124.9,15.6,41.72,80.87,1
10517,65.42,11002.5,0.234,2.0,2.0,4.34,20.37,0
17780,89.4,11820.6,0.4599,8.0,7.0,17.47,6.33,1
13387,84.99,12287.9,0.3372,6.0,4.0,15.88,11.85,1
10972,58.03,13946.4,0.1304,0.0,0.0,5.69,25.48,0
17668,69.86,11051.1,0.2111,5.0,4.0,9.08,38.02,0
16635,63.19,12615.1,0.295,5.0,2.0,8.05,21.8,0
12973,347.82,11223.8,1.7993,247.8,70.2,371.36,7.01,1
12644,73.6,13375.0,0.232,5.0,4.0,10.61,3.11,1
14301,63.81,17266.9,0.1398,2.0,3.0,3.68,17.93,0
14270,54.46,15802.6,0.1762,3.0,2.0,6.11,12.75,0
17313,99.51,18015.1,0.503,8.0,8.0,21.36,38.35,0
16961,473.14,14976.8,-0.4986,275.9,-17.4,-8.77,70.62,0
11464,88.23,11145.2,0.519,7.0,9.0,22.81,5.35,1
15583,35.9,12905.2,0.0988,1.0,2.0,1.28,8.74,0
15309,92.47,11373.6,0.4808,6.0,8.0,14.33,17.85,1
13907,91.75,10535.0,0.5922,8.0,7.0,16.73,18.88,1
10274,41.64,10397.3,0.0,0.0,0.0,7.63,4.83,0
17158,75.41,12306.3,0.4237,8.0,6.0,20.48,33.8,0
13048,71.21,14036.6,0.3811,5.0,6.0,16.4,19.22,0
13512,72.05,9437.8,0.2768,5.0,3.0,11.96,9.17,0
19403,76.84,13499.0,0.3667,5.0,6.0,10.32,22.68,0
11850,61.33,15172.0,0.3371,3.0,2.0,4.03,37.05,0
13142,59.86,11588.9,0.1167,2.0,2.0,2.34,16.73,0
10018,95.25,10960.7,0.4607,9.0,8.0,13.41,7.31,0
10531,72.24,14884.2,0.3842,7.0,6.0,14.19,34.16,0
10250,81.39,8950.9,0.475,7.0,7.0,18.9,9.83,1
16828,-90.22,11816.0,-0.3344,78.2,174.2,143.24,30.68,0
11476,92.84,8868.1,0.5674,9.0,10.0,22.06,6.44,0
19930,103.31,73416.0,-1.3302,119.9,219.2,188.26,29.34,1
17793,-40.4,180235.6,0.2615,69.9,106.8,40.35,8.92,0
14015,68.96,14530.5,0.1885,4.0,2.0,5.81,18.59,0
19037,48.89,16022.3,0.0523,3.0,2.0,0.0,34.06,0
16029,84.28,13407.0,0.412,6.0,6.0,10.11,11.28,1
18644,33.87,14225.6,0.0293,0.0,0.0,0.0,13.79,0
14700,71.53,15883.8,0.322,6.0,4.0,4.99,28.95,0
10627,62.32,13164.5,0.0631,0.0,0.0,2.3,21.27,0
16539,88.74,10836.8,0.3004,8.0,6.0,11.16,8.17,1
15534,62.56,18098.7,0.2875,3.0,3.0,12.9,33.32,0
11987,64.76,13377.7,0.135,4.0,4.0,7.91,23.64,0
10703,80.92,19461.0,0.4936,8.0,7.0,13.16,28.23,1
11601,81.03,12776.8,0.4516,8.0,7.0,16.64,15.64,1
10132,417.48,30434.9,2.0425,-32.3,141.2,-21.76,-6.02,0
17265,58.87,13366.5,0.1209,3.0,1.0,2.81,8.17,0
15957,59.38,19155.5,0.2344,4.0,3.0,5.88,27.36,0
15046,77.28,15949.9,0.4753,6.0,6.0,11.09,37.21,0
18864,90.82,14569.6,0.5782,10.0,9.0,18.32,18.65,1
15897,303.92,58115.1,-0.0248,298.7,130.2,165.59,43.24,0
10318,78.28,13434.7,0.2886,6.0,5.0,11.97,5.11,1
18233,62.52,11251.0,0.2185,6.0,3.0,5.6,2.68,1
14318,50.56,12889.7,0.0902,1.0,0.0,0.72,28.7,0
12671,71.32,13698.3,0.22,4.0,3.0,7.52,14.48,0
10636,85.81,16564.8,0.2918,6.0,4.0,11.67,24.26,0
10695,58.08,10278.6,0.1467,2.0,2.0,5.99,9.58,1
18086,55.4,19027.2,0.1753,5.0,2.0,6.64,34.91,0
16562,44.5,17873.2,0.1207,2.0,2.0,4.18,38.82,0
17915,43.04,17421.3,0.0474,1.0,2.0,4.31,33.06,0
17393,68.24,18194.4,0.3483,6.0,4.0,14.96,37.01,0
15644,66.6,10403.4,0.2395,4.0,0.0,5.04,3.63,0
11283,88.99,9989.2,0.4297,8.0,8.0,18.71,18.66,0
10708,66.62,11870.6,0.2993,3.0,4.0,7.23,11.68,0
18450,62.77,11645.7,0.2954,4.0,2.0,4.57,11.76,1
10282,52.03,11891.6,0.1938,1.0,2.0,1.23,26.34,0
17396,65.15,13483.1,0.1715,4.0,2.0,8.21,30.16,0
13022,60.16,12366.1,0.0371,3.0,2.0,5.35,8.07,0
16883,432.57,120523.3,0.8505,-8.4,250.3,-67.73,57.21,0
11260,82.73,21574.0,0.253,5.0,4.0,6.01,29.82,0
17726,93.0,7247.3,0.5625,8.0,7.0,18.77,4.53,1
18204,61.12,12924.4,0.1838,2.0,1.0,6.09,10.08,1
16786,65.2,11446.1,0.105,5.0,3.0,7.85,20.7,0
16250,79.68,10098.2,0.29,5.0,4.0,13.5,18.94,0
17365,75.48,12828.0,0.3421,5.0,4.0,11.02,18.6,0
18943,78.83,14444.4,0.34,5.0,4.0,10.41,16.13,0
10505,64.05,10665.9,0.2631,4.0,3.0,5.26,21.36,0
17051,84.21,20520.2,0.4509,9.0,4.0,17.03,32.09,0
13429,347.82,-48791.3,1.7993,247.8,70.2,371.36,87.4,0
19274,61.03,10991.2,0.1537,1.0,2.0,7.42,4.72,0
15384,67.77,14686.3,0.2636,5.0,5.0,10.3,20.45,0
18515,49.12,9262.1,0.2079,2.0,3.0,6.11,19.4,0
17521,79.48,14113.4,0.4027,7.0,7.0,17.15,2.28,1
18648,76.96,13429.5,0.1702,4.0,3.0,16.05,2.56,0
10459,89.56,11845.3,0.4654,6.0,6.0,13.88,10.57,1
13412,61.44,12482.0,0.277,5.0,5.0,7.66,10.98,0
19182,65.32,16159.0,0.3176,6.0,4.0,7.41,30.08,0
16790,57.62,9269.3,0.1041,1.0,2.0,6.31,19.61,0
11321,58.39,11100.1,0.3099,2.0,2.0,0.17,19.21,0
16738,49.57,19917.9,0.0136,2.0,2.0,2.7,38.75,0
19728,64.14,9142.6,0.2462,4.0,3.0,7.5,6.06,1
17775,87.79,6036.4,0.3211,7.0,5.0,10.83,6.59,1
18911,56.95,13981.8,0.0316,1.0,0.0,0.0,28.19,0
19427,81.9,15288.2,0.3172,5.0,4.0,12.04,31.9,0
10253,59.27,15155.7,0.1658,4.0,2.0,2.48,30.51,0
16263,74.44,9368.0,0.2549,4.0,4.0,8.84,8.41,0
13463,41.77,14178.7,0.1496,2.0,1.0,3.59,17.72,0
14136,69.01,19282.5,0.3259,6.0,4.0,13.62,31.48,0
10987,92.27,10003.6,0.4048,6.0,5.0,9.81,2.52,1
19828,73.94,4408.4,0.2774,6.0,4.0,9.62,5.95,1
15633,87.88,15432.1,0.407,9.0,5.0,15.09,21.08,1
10733,75.75,10798.3,0.2933,6.0,3.0,10.99,8.18,0
18435,76.67,13168.7,0.2318,4.0,5.0,5.97,22.94,0
15901,79.38,13774.8,0.3556,6.0,5.0,10.59,27.98,0
18001,32.73,16765.5,0.0,0.0,0.0,1.08,30.73,0
19144,71.55,16667.8,0.282,3.0,2.0,6.98,26.77,0
11327,82.47,16538.3,0.3824,7.0,6.0,14.02,33.6,0
10646,88.54,12476.9,0.4398,7.0,8.0,19.74,6.17,1
15043,83.33,13284.5,0.2785,4.0,5.0,13.77,3.69,1
12710,94.15,11326.8,0.466,9.0,8.0,15.95,10.55,1
10802,69.44,7242.9,0.1141,2.0,4.0,0.0,12.58,1
10878,84.67,6660.2,0.4648,10.0,8.0,16.11,11.21,1
16679,65.34,11836.2,0.3208,6.0,4.0,5.08,14.25,0
15271,86.42,10489.2,0.4671,6.0,5.0,11.33,1.78,1
12564,54.08,9946.3,0.302,5.0,3.0,6.93,15.39,0
15063,57.29,17487.2,-2.162,261.9,295.4,234.74,26.0,0
13327,62.2,13773.9,0.2468,5.0,4.0,9.54,17.86,0
13636,74.51,13408.8,0.3097,7.0,5.0,12.34,10.41,1
18022,84.36,15054.1,0.4484,8.0,6.0,13.5,21.15,0
18634,68.59,13258.2,0.2291,3.0,3.0,10.35,17.15,0
18937,41.35,10876.0,0.1054,1.0,1.0,4.38,2.21,0
10969,74.9,14609.5,0.2542,8.0,6.0,16.18,29.53,0
15073,43.29,19029.6,0.0298,0.0,0.0,0.0,39.89,0
