vibration_x,vibration_y,vibration_z,vibration_axial,noise_level,temp_bearing_1,temp_bearing_2,temp_motor,temp_gearbox,temp_housing,current_phase_a,current_phase_b,current_phase_c,voltage_a,voltage_b,voltage_c,pressure_inlet,pressure_outlet,pressure_mid,rotation_speed,humidity,operating_hours,oil_quality_index,equipment_age_years,outdoor_installed,status
5.704,6.296,6.418,5.595,5.688,72.68,71.5,72.99,75.71,68.73,24.181,23.165,22.943,23.85,22.848,21.801,4.485,4.592,4.661,1461.7,54.0,1141.7,62.05,7.34,Yes,Warning
8.107,6.95,8.466,8.076,7.082,70.41,70.69,69.57,73.41,63.84,20.68,21.172,21.333,20.73,20.657,20.72,4.755,4.824,5.302,1422.1,27.6,2947.3,74.3,10.59,No,Warning
7.944,7.701,7.577,7.965,7.078,75.7,73.2,73.91,75.43,70.96,22.782,22.72,21.921,23.136,21.866,23.962,5.017,4.824,5.099,1420.2,50.5,7091.1,67.04,14.62,No,Failure
7.017,8.183,7.594,7.641,8.42,60.66,60.29,63.94,59.55,62.29,23.319,,21.894,23.149,20.926,21.37,4.577,4.27,4.732,1270.6,40.7,11776.9,66.54,10.77,No,Warning
5.71,6.113,6.113,6.211,6.407,72.31,70.26,68.29,72.52,68.74,21.339,21.428,20.978,21.541,22.218,22.169,4.872,4.723,4.836,1642.2,37.8,778.5,91.45,2.22,No,Normal
5.725,6.461,6.528,5.663,6.241,67.65,65.68,62.83,62.95,64.91,22.914,22.98,22.48,22.718,22.631,22.028,4.561,4.675,4.464,1469.9,34.8,837.2,73.31,13.94,No,Warning
6.176,6.512,41.98094647599757,6.667,6.832,70.53,66.82,67.81,73.01,69.78,23.672,24.639,23.347,23.515,23.579,23.856,4.3,4.507,4.491,1441.6,46.0,5229.7,73.67,6.1,No,Warning
6.429,7.157,6.185,5.605,6.049,66.5,64.37,64.0,64.59,64.93,21.678,21.097,19.993,22.03,21.416,20.654,4.629,4.287,4.429,1442.7,40.3,4527.2,87.41,14.66,No,Normal
7.941,8.127,7.899,8.585,8.518,75.19,71.08,71.77,73.37,66.81,22.24,23.575,22.198,23.789,23.613,23.25,5.364,4.928,5.121,1528.5,55.8,6191.1,82.32,1.94,,Failure
7.586,7.04,8.265,6.815,7.415,69.44,67.01,67.95,70.7,70.08,22.88,21.494,23.558,22.357,21.622,22.454,4.827,4.888,4.997,1477.9,43.2,4289.7,84.47,1.26,No,Warning
5.463,5.472,6.406,6.436,5.867,60.18,57.85,66.37,61.54,64.18,23.372,20.887,21.393,22.491,22.559,22.432,4.24,4.166,4.253,1592.9,28.7,430.3,76.02,0.59,Yes,Normal
7.17,6.554,6.934,6.591,7.104,65.23,65.28,67.08,64.23,68.54,23.219,24.092,22.956,24.027,24.108,23.407,4.596,4.231,4.704,1452.0,55.0,1648.0,63.2,10.3,Yes,Failure
6.967,6.367,43.21780765647163,7.044,7.381,63.64,65.31,59.77,64.86,64.89,22.798,23.378,22.416,22.154,22.851,22.602,4.276,4.713,4.577,1475.4,50.1,1941.9,82.76,14.61,Yes,Warning
5.488,4.911,6.053,5.238,5.507,70.1,73.72,71.63,70.54,72.53,20.163,21.598,20.014,20.237,19.993,19.545,4.737,4.451,4.482,1420.5,37.5,5647.3,91.68,5.35,Yes,Normal
7.516,5.506,6.515,6.82,7.141,75.04,74.17,73.36,77.2,72.35,21.268,20.877,21.314,21.571,22.682,21.448,5.033,5.121,4.957,1498.4,65.1,4129.2,88.31,3.21,No,Warning
6.823,6.592,6.303,6.531,7.214,70.91,68.03,72.8,70.68,68.52,20.401,21.621,20.656,20.505,20.165,19.667,4.679,4.821,4.702,1412.5,31.9,8472.1,99.7,4.15,Yes,Normal
8.769,7.077,7.764,7.97,7.739,66.42,67.83,66.55,67.25,66.77,23.545,23.542,23.886,22.488,23.045,24.197,4.846,5.088,4.793,1611.6,53.0,1739.8,88.64,6.74,No,Failure
7.238,6.812,6.0,6.386,6.304,60.57,,58.35,58.78,60.07,23.247,23.385,22.289,21.539,21.395,21.972,4.32,4.281,4.444,1622.8,53.0,5795.4,81.56,7.19,No,Warning
6.496,6.452,5.625,4.528,5.833,70.33,67.23,64.47,69.59,67.97,22.982,24.548,22.946,22.443,100.07539195409903,23.398,4.316,4.155,4.34,1387.3,33.4,1545.1,74.22,9.87,No,Warning
4.119,5.827,5.156,4.617,6.939,75.28,77.27,75.29,73.62,73.46,23.395,23.57,23.004,23.615,22.97,23.492,4.195,4.6,4.326,1513.4,41.9,664.0,71.4,13.47,No,Warning
6.305,6.94,7.267,6.126,6.149,64.99,64.22,65.79,62.31,62.23,19.706,20.48,20.431,21.68,19.149,20.1,4.333,4.53,4.399,1312.9,45.1,916.3,105.74,6.0,No,Normal
7.303,7.041,6.666,7.335,7.566,68.85,65.66,63.53,67.2,70.66,24.628,23.647,23.459,23.662,23.654,22.925,4.804,4.969,4.99,1416.9,69.1,2891.7,69.55,3.36,No,Failure
5.718,5.557,6.374,6.584,5.641,60.27,61.02,63.49,63.51,64.02,19.766,20.884,20.867,20.298,19.237,20.085,4.4,4.334,4.341,1369.6,40.6,2068.1,99.17,12.34,No,Normal
5.687,5.628,4.308,5.727,5.43,69.11,69.95,73.39,73.59,69.74,20.796,21.067,21.149,22.088,21.661,20.445,4.569,4.456,4.794,1384.2,48.7,6315.5,80.88,7.24,Yes,Normal
4.342,4.455,5.391,5.085,4.261,75.2,72.78,75.38,74.37,74.93,24.234,23.508,22.927,22.692,23.63,24.032,4.501,4.812,4.723,1369.5,44.6,2570.8,71.19,6.36,Yes,Warning
5.966,7.901,6.021,6.788,5.471,77.56,74.07,71.93,74.95,70.12,24.088,22.711,23.529,23.959,25.0,23.799,4.599,4.77,4.698,1402.9,43.4,987.5,68.78,12.01,No,Warning
7.404,7.624,7.534,6.27,7.483,75.58,77.43,71.44,69.81,70.89,19.329,19.997,19.96,20.021,20.923,19.181,5.2,4.777,4.95,1657.8,40.6,1952.6,103.8,2.72,No,Warning
5.898,4.876,5.801,5.804,6.677,74.54,74.97,73.01,70.65,75.24,23.319,23.429,23.46,23.565,24.036,23.414,4.728,5.059,4.941,1616.3,25.1,1813.9,63.62,9.53,No,Warning
6.613,6.535,6.935,6.605,6.402,72.38,74.11,69.86,69.01,75.19,22.863,23.811,22.363,22.733,22.22,23.566,5.103,5.185,4.862,1388.0,40.6,5417.0,66.41,12.34,No,Failure
7.662,7.598,5.784,6.76,6.542,58.95,63.28,61.89,57.8,54.55,22.019,23.338,22.531,24.271,23.145,22.373,4.19,4.372,4.304,1358.5,57.6,1341.5,68.6,10.79,No,Warning
7.301,7.895,8.368,7.82,7.575,67.94,64.34,67.32,69.4,67.89,22.69,23.651,23.506,23.229,23.176,21.892,5.061,4.797,4.911,1414.9,32.3,2682.3,69.82,13.69,No,Failure
8.049,6.577,6.457,6.168,7.084,70.56,75.59,75.17,70.33,71.87,22.898,21.668,22.147,21.338,21.769,22.48,4.955,4.791,4.887,1569.3,43.9,3569.0,91.83,3.35,No,Warning
8.548,7.141,8.49,7.245,6.261,66.89,66.2,66.85,61.78,65.57,21.183,21.794,21.805,21.149,22.08,21.877,4.672,5.066,4.861,1608.7,58.3,9301.8,99.66,6.59,No,Warning
5.666,7.019,5.726,5.816,6.441,75.3,,72.9,71.37,68.63,22.234,21.385,21.987,21.396,21.024,20.376,5.07,4.563,5.21,1562.5,59.7,11539.6,100.7,3.03,Yes,Warning
6.958,6.662,6.733,7.696,6.576,60.86,63.19,60.92,59.54,59.92,19.423,19.564,19.496,20.641,19.71,19.505,4.485,4.667,4.456,1464.1,57.3,1623.1,99.67,6.23,Yes,Normal
7.576,8.295,8.021,8.81,6.905,76.46,78.37,70.73,78.59,72.54,23.097,21.596,22.737,21.866,22.22,21.054,4.983,4.963,5.079,1280.2,45.0,7305.2,94.14,1.79,No,Failure
6.325,7.135,7.222,5.824,7.519,75.95,74.12,72.88,70.94,77.53,19.656,20.585,20.625,20.27,21.01,19.592,4.937,4.985,4.962,1577.7,56.9,3929.0,80.64,6.49,No,Warning
5.211,5.549,5.019,5.582,5.512,56.47,61.17,59.78,61.43,63.46,20.528,20.116,20.858,19.996,20.926,22.107,4.103,4.056,4.523,1226.0,53.8,4084.6,105.93,14.06,No,Normal
5.65,5.229,5.647,6.034,5.425,73.18,75.28,69.74,75.1,73.74,20.241,20.634,19.709,19.267,20.325,20.096,4.69,4.453,4.544,1265.3,37.6,2105.8,88.57,4.07,No,Normal
7.534,7.245,9.046,7.109,7.827,62.57,63.36,64.76,63.37,62.27,23.301,23.593,23.46,22.335,23.571,23.298,4.75,4.524,4.716,1355.6,21.0,3798.4,61.1,13.81,Yes,Failure
5.357,6.755,5.672,5.787,5.994,74.52,73.84,72.78,72.45,70.51,21.076,,22.282,22.938,23.416,21.403,4.753,4.745,4.337,1443.1,31.1,1077.7,86.36,2.87,No,Warning
5.937,6.312,6.211,5.749,6.708,73.24,71.11,74.19,71.42,71.75,21.621,21.391,21.644,21.012,23.056,22.443,4.883,4.583,4.792,1545.3,54.5,1198.1,85.26,5.3,No,Warning
6.907,7.582,7.871,7.612,6.935,70.6,68.65,67.74,69.92,73.2,21.922,22.645,22.417,21.979,22.627,22.056,5.275,5.016,4.867,1498.9,45.0,10746.1,81.34,11.25,Yes,Failure
6.154,7.4,6.965,6.39,6.61,68.59,78.06,75.44,71.68,72.99,23.058,23.301,24.268,23.646,23.389,22.676,4.848,4.931,4.915,1512.2,42.9,1820.5,86.38,5.21,Yes,Failure
7.56,7.441,7.27,6.843,6.706,61.33,66.86,61.83,64.48,61.48,19.837,20.938,20.748,21.149,19.573,20.719,4.133,4.53,4.533,1589.5,45.5,2761.1,88.34,5.46,No,Normal
5.257,5.123,5.529,4.178,3.801,73.68,76.28,72.65,78.19,73.37,21.318,20.619,21.025,20.602,20.212,22.163,4.065,4.921,4.562,1702.5,66.2,2827.3,85.52,2.87,Yes,Normal
6.255,5.987,5.736,5.988,6.064,72.35,73.04,71.03,68.17,72.45,21.156,20.335,20.238,20.207,19.809,20.483,4.882,4.698,4.898,1456.6,58.5,4198.5,114.76,14.69,No,Normal
6.765,5.975,6.192,5.128,5.208,65.17,64.91,62.97,64.32,63.27,21.086,22.409,20.869,21.093,21.061,20.74,4.313,3.992,4.254,1310.3,49.9,3008.3,85.66,5.94,No,Normal
6.608,6.852,8.234,6.658,8.184,59.05,56.65,58.04,62.33,61.83,20.077,19.977,21.13,21.388,19.179,20.93,4.352,4.33,4.145,1286.5,,1646.4,102.93,10.01,No,Normal
8.917,8.32,7.756,7.812,7.427,60.61,64.37,59.18,59.65,62.52,21.894,21.736,22.28,21.892,120.92273965269855,22.061,4.382,4.621,4.687,1176.4,,4186.6,88.27,13.71,No,Warning
4.627,6.112,5.82,6.176,6.013,71.96,72.11,73.34,70.55,71.34,22.207,21.153,23.096,23.384,22.673,22.256,4.647,4.761,4.469,1431.6,46.4,1371.5,98.05,13.32,Yes,Normal
8.015,7.088,8.063,7.221,7.396,61.86,61.52,58.72,59.62,61.52,21.629,22.817,21.099,21.052,21.295,22.085,4.605,4.309,4.199,1627.1,41.3,2192.7,100.19,5.36,Yes,Warning
8.067,7.333,8.348,8.476,8.004,64.43,66.55,67.8,68.15,67.02,21.34,22.934,22.575,21.669,21.067,22.237,4.336,4.762,4.934,1324.4,38.9,8452.6,93.4,2.39,Yes,Warning
6.821,7.129,6.896,7.845,6.703,67.29,59.9,62.09,61.96,60.89,23.631,23.838,22.772,24.252,23.491,23.652,4.47,4.573,4.355,1572.3,54.0,4174.4,72.34,4.62,No,Warning
7.553,8.35,7.822,7.298,7.31,65.14,61.74,64.22,67.81,62.8,22.69,22.242,21.53,22.441,22.132,21.662,4.633,4.58,4.352,1380.1,53.8,5709.9,76.5,0.84,Yes,Warning
5.5,6.164,5.791,7.165,5.401,67.57,62.72,69.48,65.95,63.45,20.908,21.572,20.321,21.15,20.649,21.498,4.099,4.336,4.275,1518.4,27.2,12392.6,88.32,3.33,No,Normal
7.314,7.804,7.349,7.18,6.743,64.79,62.13,62.15,57.45,61.75,21.236,,20.617,20.45,20.829,20.628,4.504,4.539,4.396,1227.1,46.1,8119.3,96.44,0.67,No,Normal
7.779,8.507,7.619,7.657,7.425,72.46,73.31,71.21,75.56,72.01,21.672,21.222,20.672,21.595,22.749,20.533,4.754,5.069,5.146,1548.2,26.9,3258.0,97.69,9.45,Yes,Warning
7.93,6.974,6.75,7.74,6.881,64.17,62.39,64.58,63.5,62.27,24.249,23.274,23.229,24.26,24.054,23.866,4.595,4.199,4.903,1361.2,49.4,3009.2,68.32,10.62,No,Failure
6.607,6.022,6.044,6.625,6.174,71.92,74.6,69.08,70.9,75.58,20.698,20.561,21.558,21.207,20.67,21.705,4.787,4.948,4.788,1493.0,64.1,2755.4,76.51,3.18,Yes,Warning
5.74,5.342,5.914,5.084,6.183,66.57,67.32,67.03,66.94,71.97,23.456,24.415,24.136,23.729,24.119,23.756,4.76,4.253,4.474,1527.2,57.1,4104.5,63.2,5.63,,Warning
4.48,5.744,5.198,6.675,4.771,72.62,69.68,71.83,66.67,69.19,22.489,23.18,22.743,24.454,23.5,22.563,4.615,4.649,4.246,1656.6,45.3,1900.0,79.73,10.64,No,Warning
5.445,5.342,6.309,4.881,5.668,67.99,72.88,65.33,71.82,68.21,20.986,21.14,21.079,21.208,22.142,21.349,4.668,4.402,4.928,1441.5,,1545.0,96.06,13.06,No,Warning
4.112,4.641,5.239,5.001,5.077,67.17,63.67,61.22,59.92,64.66,23.278,23.609,23.828,24.224,23.535,24.041,4.213,4.055,4.104,1592.1,42.6,3155.5,80.32,3.95,No,Normal
7.04,8.13,7.465,7.59,6.707,66.04,64.47,63.08,69.13,61.13,22.667,23.625,23.058,23.455,23.364,23.713,4.614,4.742,4.524,1607.2,,2653.4,84.6,11.33,No,Failure
6.496,6.452,5.625,4.528,5.833,70.33,67.23,64.47,69.59,67.97,22.982,24.548,22.946,22.443,100.07539195409903,23.398,4.316,4.155,4.34,1387.3,33.4,1545.1,74.22,9.87,No,Warning
5.12,5.925,5.827,6.086,5.507,75.24,69.35,66.74,69.16,65.97,21.39,19.937,22.065,20.491,20.825,21.186,4.191,4.462,4.615,1509.5,43.5,3684.6,101.07,3.5,No,Normal
5.719,7.221,6.502,6.542,7.324,73.47,74.42,71.11,72.53,72.89,20.339,20.649,19.882,21.33,21.435,19.839,5.076,4.956,4.721,1573.2,55.5,1811.8,108.67,10.39,No,Warning
7.831,7.247,8.005,8.156,7.863,72.08,73.72,69.8,74.72,69.36,21.42,21.675,23.144,21.752,22.329,23.343,5.311,4.867,4.937,1346.4,66.8,1948.0,88.74,10.13,Yes,Failure
4.701,5.698,5.74,5.724,5.558,74.83,68.09,71.7,72.82,76.38,22.841,22.499,22.454,23.296,23.335,21.852,4.445,4.551,4.618,1645.8,19.9,1047.0,82.2,9.99,Yes,Normal
5.667,6.024,6.847,5.891,5.835,71.41,72.92,68.04,74.65,75.36,21.075,20.794,20.408,20.134,21.462,21.132,4.46,4.915,4.404,1428.7,46.9,2638.4,108.73,9.72,No,Normal
5.355,4.508,5.138,5.683,4.237,62.8,64.23,65.72,62.9,72.67,23.458,22.254,23.291,21.949,22.387,22.11,4.196,4.701,4.469,1606.1,54.2,1509.2,85.65,3.37,Yes,Normal
5.759,5.52,5.631,5.407,5.766,68.11,71.31,69.32,68.41,68.97,20.593,20.344,19.814,20.758,20.487,20.055,4.602,4.331,4.532,1738.5,43.8,3036.9,105.42,5.61,Yes,Normal
5.411,4.465,5.256,5.544,5.195,65.82,61.21,62.66,59.83,64.54,20.903,22.343,22.117,21.901,20.911,22.037,4.062,4.304,4.026,1536.5,54.1,607.9,79.77,1.06,No,Normal
7.788,7.997,6.834,7.177,7.506,65.36,64.04,62.56,65.88,61.68,20.597,20.141,20.288,21.443,21.87,20.539,4.649,4.549,4.454,1455.3,46.9,1255.8,108.39,9.63,No,Warning
6.522,6.471,6.927,7.518,7.907,65.99,62.38,64.68,64.49,68.05,22.576,22.896,23.442,22.885,22.218,22.24,4.563,4.591,4.536,1395.4,44.7,2221.4,75.85,5.14,No,Warning
5.506,5.037,6.809,6.564,6.049,59.75,,62.74,64.59,60.37,23.888,23.612,23.311,24.182,23.974,23.729,4.207,4.37,4.37,1429.5,55.6,3975.9,80.69,10.78,Yes,Warning
7.192,8.925,49.94399552660425,7.666,8.45,74.72,69.83,70.96,76.89,67.8,22.978,23.441,23.992,24.044,23.403,23.735,5.046,5.032,5.127,1695.3,40.7,4678.4,69.26,7.76,Yes,Failure
6.285,6.326,7.328,7.218,7.16,65.07,64.45,64.4,65.86,63.23,22.521,22.862,24.145,23.3,23.863,23.351,4.611,4.869,4.445,1472.5,40.2,2398.8,79.21,6.39,Yes,Failure
5.424,5.61,5.678,6.939,6.965,72.53,71.59,77.36,72.61,72.24,21.009,21.597,20.81,20.452,20.495,20.605,4.867,4.588,4.869,1458.0,54.8,1221.4,82.02,12.27,No,Normal
8.163,7.093,6.582,7.785,7.912,72.5,70.99,72.31,67.24,70.83,20.812,19.916,20.278,20.2,19.053,19.479,5.209,4.992,5.199,1634.7,51.7,6443.0,103.44,9.44,Yes,Warning
5.714,5.114,6.136,6.018,6.625,61.1,64.77,65.67,63.91,61.84,22.057,20.581,21.088,20.784,20.778,21.253,4.407,4.55,4.542,1644.4,25.6,2524.1,94.29,5.06,No,Normal
6.135,6.856,7.094,6.455,7.033,61.59,61.54,60.84,64.64,61.3,22.927,23.242,22.224,23.321,22.695,22.99,4.196,4.429,4.05,1399.5,34.6,4363.8,81.97,4.22,Yes,Warning
5.795,5.714,6.35,5.385,4.823,77.01,72.0,72.38,74.0,73.38,22.168,22.511,22.861,23.39,23.008,22.41,4.796,4.573,4.798,1686.7,43.0,3936.1,94.36,7.17,Yes,Warning
7.729,8.654,8.056,7.705,7.769,61.56,58.81,60.06,62.0,62.37,22.119,,21.996,22.202,21.632,21.972,4.325,4.711,4.68,1481.7,,3600.6,82.98,7.83,Yes,Warning
5.63,4.982,4.253,5.724,5.12,63.03,58.69,64.04,63.66,58.96,23.262,21.786,22.941,22.383,22.842,23.03,4.357,4.007,4.151,1482.7,46.3,1564.3,81.82,8.77,No,Normal
7.556,7.449,7.453,6.817,8.534,68.23,69.17,68.15,72.69,69.91,21.908,21.102,21.413,21.284,20.302,22.024,4.595,4.954,4.875,1466.2,40.2,13995.4,75.38,11.9,No,Warning
8.32,7.6,7.515,7.527,7.755,74.95,76.02,71.54,73.46,75.08,22.555,22.162,22.815,23.007,22.984,23.23,5.284,5.025,5.329,1278.4,,4302.8,80.28,3.33,No,Failure
7.532,7.65,6.806,8.104,7.595,66.47,63.52,64.33,66.5,65.18,22.873,21.981,23.03,22.916,23.078,23.105,4.991,4.847,4.585,1288.0,39.5,5512.9,76.71,0.64,No,Failure
4.629,6.156,4.424,6.399,4.116,73.4,76.6,71.73,73.55,73.72,22.502,22.536,22.215,21.678,21.508,21.92,4.627,4.892,4.697,1591.1,52.3,11127.6,82.02,11.04,No,Warning
5.737,5.81,6.039,6.443,5.491,59.32,65.07,64.66,65.01,60.17,20.262,19.256,20.494,20.189,19.607,21.557,4.159,4.403,4.385,1670.8,42.1,3974.5,89.59,7.87,Yes,Normal
6.083,7.078,6.41,7.208,7.229,74.12,69.14,73.44,72.47,69.45,23.446,23.249,21.544,23.666,23.758,24.176,4.514,4.781,4.827,1499.4,24.6,4339.0,73.1,9.13,No,Failure
5.587,4.759,5.483,6.42,5.205,74.23,78.47,71.93,74.13,73.62,23.508,23.326,23.459,23.903,23.958,22.916,4.67,4.58,4.887,1340.2,57.0,4137.1,78.04,3.24,Yes,Warning
7.005,6.151,7.042,6.423,6.413,75.53,70.99,75.65,74.83,71.74,19.99,20.803,19.809,20.0,20.351,21.079,4.688,5.143,4.965,1460.6,55.1,5698.5,99.28,2.43,No,Normal
5.686,6.345,5.893,6.18,6.454,70.5,74.98,69.23,72.62,70.02,23.366,22.716,22.429,22.948,22.756,23.899,4.615,4.777,4.341,1542.8,44.7,799.0,81.69,1.98,No,Warning
6.588,6.258,6.836,6.071,7.181,62.01,67.09,60.87,63.72,60.7,21.137,21.965,21.475,21.991,21.444,22.585,4.605,4.25,4.421,1642.3,37.8,881.7,87.93,9.73,No,Warning
6.658,6.484,6.179,5.63,5.875,71.73,70.36,70.39,71.3,75.57,22.501,21.934,22.351,20.72,20.978,21.052,4.616,5.114,4.796,1640.6,42.3,2673.8,95.99,12.79,No,Warning
6.531,5.352,6.067,5.507,6.956,64.01,63.4,64.14,67.5,63.39,21.781,21.546,21.205,20.862,21.175,21.84,4.45,4.343,4.06,1451.9,49.9,2056.4,87.67,9.27,Yes,Normal
7.963,7.616,6.794,7.15,8.146,66.88,67.95,64.38,64.7,62.17,21.473,21.688,20.34,20.191,20.472,21.275,4.979,4.787,4.636,1644.8,48.3,1111.8,105.82,5.86,Yes,Warning
8.658,7.318,7.196,7.715,8.272,66.61,69.03,65.72,71.15,64.42,20.998,22.352,20.883,21.639,19.892,19.168,5.045,4.744,4.835,1559.1,52.3,10786.0,90.6,6.05,Yes,Warning
6.817,6.95,6.251,6.565,6.366,62.12,67.15,70.23,64.91,63.88,21.912,21.175,22.338,21.777,21.037,21.763,4.263,4.76,4.486,1556.3,46.4,2312.8,105.44,13.91,No,Warning
6.042,5.264,5.708,5.412,6.071,61.05,61.35,64.08,62.87,57.19,19.824,22.523,21.288,20.728,21.376,21.202,4.023,4.328,4.35,1640.9,43.0,2409.2,88.01,5.24,No,Normal
7.51,8.588,7.83,7.865,7.029,62.18,60.86,64.49,60.53,59.79,19.09,20.417,20.84,19.875,19.461,19.039,4.621,4.732,4.611,1410.9,29.1,6293.6,104.11,4.31,No,Normal
6.359,6.119,5.653,6.171,6.597,61.66,63.84,63.46,62.99,63.55,21.055,20.332,20.641,21.877,21.708,22.55,3.914,4.301,4.4,1486.6,57.8,7476.3,95.33,1.5,No,Normal
