emp_id,age,department,business_travel,distance_from_home,education_level,marital_status,monthly_income,num_companies_worked,overtime,total_working_years,years_at_company,job_satisfaction,environment_satisfaction,work_life_balance,performance_rating,attrition
10612,38,R&D,Travel_Frequently,2.9,3,Married,3710.0,4,Yes,11.7,8.9,1.0,4,3.0,2,No
10885,52,R&D,Travel_Rarely,10.9,1,Divorced,7820.0,4,No,32.7,19.1,4.0,4,3.0,3,No
10721,25,Sales,Travel_Rarely,21.8,1,Married,3300.0,4,Yes,6.2,4.2,4.0,3,1.0,3,Yes
10487,33,R&D,Travel_Frequently,3.5,4,Married,2950.0,4,Yes,8.4,4.2,3.0,3,1.0,3,Yes
10694,57,HR,Travel_Rarely,6.6,4,Married,7930.0,3,Yes,35.0,20.2,2.0,4,1.0,4,No
10679,40,Sales,Non-Travel,9.8,5,Single,4640.0,0,No,14.2,13.9,1.0,1,3.0,3,No
10810,59,R&D,Travel_Rarely,8.1,3,Single,8420.0,2,No,37.5,30.9,3.0,3,1.0,4,No
10409,57,R&D,Travel_Rarely,12.2,4,Married,6330.0,5,No,25.4,8.9,4.0,4,1.0,3,No
10741,52,R&D,Travel_Rarely,8.8,4,Single,6520.0,1,Yes,29.4,24.8,1.0,2,4.0,3,Yes
10214,37,R&D,Travel_Rarely,2.9,3,Married,4740.0,1,No,17.0,15.0,1.0,4,1.0,4,No
10590,53,R&D,Travel_Rarely,12.5,5,Single,5750.0,5,No,24.1,8.5,3.0,2,4.0,1,No
10366,40,Sales,Travel_Rarely,184.7,1,Married,5090.0,4,Yes,20.2,15.8,1.0,3,4.0,3,No
10200,58,Sales,Travel_Rarely,5.4,4,Single,5490.0,7,No,27.5,6.5,4.0,4,2.0,3,No
10637,29,Sales,Travel_Frequently,7.4,3,Divorced,3150.0,1,No,8.4,7.5,2.0,3,1.0,4,No
10629,40,Sales,Travel_Rarely,32.4,2,Married,4370.0,1,No,16.3,14.2,2.0,3,1.0,2,No
10829,54,R&D,Travel_Rarely,9.7,4,Married,5900.0,6,No,25.5,6.7,1.0,4,1.0,2,No
10353,31,HR,Travel_Rarely,13.4,5,Single,3710.0,3,No,10.8,7.4,3.0,3,3.0,3,No
10330,42,Sales,Travel_Rarely,9.1,1,Married,5150.0,2,No,17.0,11.6,4.0,2,3.0,3,No
10982,48,Sales,Travel_Rarely,11.7,5,Married,4930.0,2,No,18.4,17.9,1.0,1,3.0,4,No
10838,27,R&D,Travel_Rarely,12.4,3,Married,2860.0,6,No,4.7,1.3,1.0,2,4.0,3,No
10245,45,Sales,Travel_Rarely,2.4,1,Single,,3,No,20.4,10.7,1.0,2,,3,No
10287,26,R&D,Travel_Rarely,8.7,5,Married,3570.0,1,No,4.7,2.4,1.0,3,2.0,3,Yes
10290,38,Sales,Travel_Rarely,33.6,1,Married,4420.0,4,No,16.5,8.3,4.0,2,1.0,3,Yes
10599,45,R&D,Non-Travel,11.4,3,Single,5260.0,6,No,22.7,7.6,1.0,4,4.0,4,No
10762,42,R&D,Travel_Rarely,15.9,2,Single,4180.0,1,No,15.6,12.8,4.0,2,1.0,4,No
10060,47,R&D,Travel_Rarely,2.2,2,Married,5230.0,3,No,18.6,16.6,3.0,2,3.0,4,No
10623,26,R&D,Non-Travel,9.7,2,Married,2170.0,5,Yes,3.9,2.3,1.0,4,4.0,4,No
10319,57,Sales,Travel_Rarely,25.7,1,Divorced,6890.0,1,No,29.7,23.3,3.0,2,4.0,1,No
10011,41,HR,Travel_Frequently,6.6,5,Married,4210.0,3,No,13.4,6.7,1.0,1,4.0,3,No
10238,37,R&D,Travel_Rarely,19.5,5,Married,4910.0,5,No,15.8,4.8,3.0,3,2.0,2,No
10332,34,R&D,Travel_Frequently,9.8,2,Married,,3,No,11.5,6.1,4.0,2,2.0,4,No
10706,42,Sales,Travel_Rarely,22.5,4,Divorced,4400.0,3,No,15.5,7.3,3.0,2,1.0,2,No
10087,23,Sales,Travel_Rarely,7.7,1,Married,2090.0,3,Yes,0.0,0.0,,2,2.0,4,Yes
10804,56,HR,Travel_Frequently,11.2,2,Divorced,6300.0,3,No,25.0,19.3,1.0,4,4.0,3,No
10175,47,R&D,Travel_Rarely,10.5,2,Single,6340.0,2,Yes,23.1,16.8,3.0,2,,2,No
10313,24,HR,Travel_Rarely,7.3,5,Married,2600.0,4,Yes,2.0,0.3,3.0,4,1.0,3,Yes
10463,49,Sales,Travel_Frequently,9.4,5,Single,4890.0,1,No,16.0,11.1,3.0,2,2.0,3,No
10219,37,HR,Travel_Frequently,27.5,1,Married,4970.0,5,Yes,13.6,3.5,4.0,3,3.0,3,No
10031,38,Sales,Travel_Rarely,8.2,1,Single,4690.0,5,No,14.8,4.3,1.0,4,3.0,3,No
10548,43,Sales,Travel_Rarely,4.6,4,Married,5230.0,3,Yes,19.3,8.9,1.0,1,4.0,3,Yes
10665,43,Sales,Non-Travel,9.3,2,Single,,2,Yes,15.1,11.7,3.0,4,2.0,3,No
10055,39,R&D,Travel_Rarely,3.0,3,Married,3350.0,0,No,9.2,6.5,1.0,3,2.0,3,No
10024,57,R&D,Travel_Rarely,21.5,4,Married,6600.0,2,No,31.6,24.0,1.0,3,3.0,3,No
10257,47,Sales,Travel_Rarely,10.4,5,Single,5290.0,4,No,18.9,10.3,3.0,4,3.0,3,No
10451,58,Sales,Travel_Rarely,10.8,2,Single,6920.0,4,No,29.7,11.7,2.0,2,3.0,4,No
10004,37,R&D,Travel_Rarely,5.4,5,Married,4470.0,2,No,14.3,13.3,3.0,3,3.0,2,No
10834,25,HR,Travel_Frequently,3.4,2,Single,3020.0,2,Yes,4.3,3.6,1.0,1,4.0,4,Yes
10553,53,R&D,Travel_Rarely,15.0,4,Married,5720.0,5,No,24.4,14.2,2.0,1,1.0,3,No
10639,51,HR,Non-Travel,10.6,5,Married,4560.0,2,No,16.5,12.7,3.0,1,3.0,3,No
10478,20,Sales,Travel_Rarely,6.7,3,Married,2760.0,5,No,0.0,0.2,,4,3.0,3,No
10957,36,Sales,Travel_Rarely,13.3,3,Married,3560.0,2,No,9.9,8.3,2.0,2,3.0,3,No
10663,21,R&D,Non-Travel,2.6,2,Divorced,2410.0,5,No,0.0,0.0,1.0,4,4.0,4,Yes
10519,39,R&D,Travel_Frequently,13.4,5,Single,4370.0,3,No,14.1,9.7,2.0,1,1.0,3,Yes
10961,26,Sales,Non-Travel,15.0,5,Divorced,2330.0,1,No,2.7,2.9,4.0,2,,3,No
10954,37,Sales,Travel_Frequently,8.0,2,Divorced,4460.0,4,Yes,14.5,8.3,4.0,1,1.0,3,Yes
10980,42,Sales,Non-Travel,15.5,3,Single,4880.0,3,No,17.2,14.8,3.0,4,3.0,3,No
10576,34,R&D,Non-Travel,60.0,4,Divorced,4270.0,3,No,11.3,8.0,2.0,3,1.0,4,No
10540,20,HR,Travel_Rarely,13.6,5,Divorced,3630.0,3,No,3.3,1.7,3.0,4,3.0,1,No
10216,30,Sales,Travel_Frequently,7.5,1,Married,3070.0,3,No,4.3,2.5,3.0,3,3.0,3,No
10738,33,Sales,Non-Travel,185.6,4,Divorced,4280.0,4,Yes,10.0,3.7,1.0,1,2.0,2,Yes
10999,58,R&D,Travel_Rarely,27.0,4,Married,5830.0,5,No,25.3,10.1,2.0,3,2.0,3,No
10714,50,Sales,Travel_Rarely,20.3,1,Single,5920.0,6,Yes,20.8,11.4,1.0,2,2.0,4,No
10668,54,R&D,Travel_Rarely,3.5,1,Married,6670.0,24,No,26.9,21.3,3.0,2,2.0,3,No
10040,45,Sales,Travel_Rarely,20.5,2,Single,5350.0,2,Yes,21.6,17.4,2.0,4,2.0,3,No
10232,54,Sales,Travel_Rarely,10.6,2,Married,5060.0,4,No,18.7,13.2,3.0,3,4.0,3,No
10495,31,R&D,Travel_Frequently,1.4,2,Married,3720.0,2,Yes,11.0,4.5,1.0,2,2.0,3,No
10705,25,R&D,Travel_Rarely,12.3,1,Single,2410.0,1,No,4.0,3.6,3.0,2,3.0,1,Yes
10968,32,R&D,Non-Travel,8.3,3,Married,2930.0,1,Yes,7.4,7.3,2.0,1,1.0,2,Yes
10067,56,Sales,Non-Travel,11.1,1,Single,7620.0,0,No,34.4,31.6,,3,2.0,2,No
10295,41,Sales,Travel_Rarely,25.7,2,Divorced,4800.0,2,No,14.5,13.5,2.0,2,,3,No
10068,34,Sales,Travel_Rarely,6.9,4,Single,3500.0,5,No,8.5,5.8,3.0,3,,3,No
10480,24,Sales,Travel_Rarely,20.9,4,Married,3030.0,0,Yes,1.5,2.0,3.0,4,1.0,4,Yes
10329,25,Sales,Travel_Rarely,17.8,1,Married,3010.0,5,No,5.2,3.2,1.0,4,4.0,3,No
10627,33,Sales,Travel_Frequently,15.1,4,Married,,4,Yes,10.3,7.5,1.0,3,1.0,3,Yes
10108,46,Sales,Travel_Rarely,25.2,4,Married,4520.0,2,Yes,17.0,13.9,3.0,1,4.0,2,No
10984,45,Sales,Travel_Rarely,5.5,5,Married,4560.0,7,No,18.4,6.2,4.0,2,1.0,3,No
10347,59,Sales,Travel_Rarely,8.8,3,Single,7220.0,3,Yes,30.3,13.5,4.0,3,2.0,3,No
10299,31,Sales,Travel_Rarely,12.0,2,Married,3880.0,5,No,8.2,4.9,1.0,1,3.0,4,No
10644,39,HR,Travel_Rarely,4.1,4,Divorced,4880.0,2,No,18.8,12.3,4.0,2,1.0,4,No
10308,42,R&D,Travel_Frequently,9.5,1,Married,4000.0,4,No,16.0,9.7,4.0,2,4.0,3,No
10855,31,Sales,Travel_Frequently,6.7,5,Married,4100.0,4,Yes,11.2,5.5,3.0,3,1.0,1,Yes
10507,41,HR,Travel_Frequently,22.7,5,Single,5180.0,2,No,20.7,17.2,3.0,3,1.0,3,No
10297,53,Sales,Travel_Rarely,10.0,3,Single,6350.0,3,No,22.6,13.3,4.0,3,2.0,3,No
10881,23,Sales,Travel_Rarely,23.7,1,Divorced,2580.0,0,No,4.5,5.1,2.0,1,1.0,4,Yes
10667,40,Sales,Travel_Frequently,6.2,3,Single,5220.0,0,No,21.9,19.2,4.0,2,3.0,4,No
10101,53,HR,Travel_Frequently,23.2,2,Married,6410.0,0,Yes,25.5,25.5,4.0,2,2.0,2,No
10089,50,R&D,Non-Travel,4.4,3,Married,6130.0,5,Yes,21.1,9.3,1.0,3,4.0,2,No
10064,58,R&D,Travel_Rarely,30.5,5,Married,7360.0,5,No,32.2,20.5,2.0,3,2.0,3,No
10844,21,Sales,Travel_Rarely,7.0,5,Married,1770.0,2,Yes,0.2,0.0,2.0,3,1.0,3,Yes
10889,20,Sales,Travel_Frequently,20.8,3,Single,2170.0,1,Yes,2.3,2.0,1.0,1,4.0,1,Yes
10140,37,Sales,Travel_Rarely,21.9,5,Married,3920.0,2,No,14.5,12.7,4.0,4,3.0,3,No
10758,35,R&D,Travel_Frequently,52.6,1,Married,3880.0,5,No,13.8,8.2,2.0,1,3.0,3,No
10616,45,HR,Travel_Frequently,7.8,2,Married,4110.0,2,No,13.8,8.9,2.0,2,3.0,1,No
10500,37,Sales,Travel_Rarely,14.1,1,Divorced,4180.0,1,No,11.2,9.2,1.0,2,,1,No
10666,47,R&D,Travel_Rarely,20.6,2,Married,6000.0,4,Yes,25.8,13.5,1.0,4,4.0,4,No
10585,36,Sales,Travel_Rarely,3.7,4,Married,3750.0,5,No,13.8,5.6,2.0,3,1.0,3,No
10110,48,R&D,Non-Travel,12.5,4,Single,5360.0,1,Yes,19.3,18.3,3.0,4,2.0,3,No
10917,41,Sales,Travel_Rarely,4.4,3,Divorced,4890.0,3,No,17.9,15.1,4.0,2,,3,No
10651,39,Sales,Travel_Rarely,17.5,4,Single,3640.0,4,No,13.1,8.1,3.0,4,3.0,3,No
10534,31,R&D,Travel_Rarely,32.1,2,Single,3980.0,4,Yes,12.0,7.2,1.0,4,3.0,1,No
10446,46,HR,Travel_Frequently,10.3,2,Married,4400.0,3,No,16.4,8.9,3.0,4,4.0,3,No
10606,41,Sales,Travel_Rarely,7.5,3,Divorced,4000.0,3,No,18.8,16.3,3.0,4,3.0,3,No
10137,44,Sales,Travel_Frequently,11.3,5,Divorced,5110.0,4,No,21.4,15.1,1.0,2,2.0,3,No
10812,55,Sales,Non-Travel,9.6,2,Married,6860.0,5,No,32.3,10.8,4.0,2,1.0,3,No
10515,58,R&D,Travel_Rarely,3.7,2,Married,6480.0,1,Yes,26.0,24.3,1.0,1,1.0,3,No
10754,57,HR,Non-Travel,4.9,4,Divorced,7450.0,3,No,34.0,23.5,2.0,3,2.0,4,No
10159,40,R&D,Non-Travel,10.9,3,Married,4310.0,1,Yes,17.2,14.2,2.0,4,2.0,4,No
10311,46,R&D,Travel_Frequently,4.3,5,Single,4940.0,5,Yes,15.0,11.7,2.0,2,2.0,3,Yes
10328,21,HR,Travel_Rarely,10.1,3,Single,2320.0,1,No,0.0,0.0,1.0,2,2.0,4,Yes
10137,44,Sales,Travel_Frequently,11.3,5,Divorced,5110.0,4,No,21.4,15.1,1.0,2,2.0,3,No
10936,57,HR,Non-Travel,10.1,4,Single,7920.0,17,No,34.9,15.7,1.0,1,2.0,3,No
10255,46,R&D,Travel_Rarely,21.6,5,Divorced,5120.0,2,No,21.2,14.7,4.0,1,2.0,3,No
10276,39,R&D,Travel_Rarely,14.7,4,Single,5000.0,3,Yes,19.3,14.1,2.0,3,,3,No
10902,21,Sales,Travel_Rarely,19.3,3,Single,2670.0,2,Yes,0.0,0.2,2.0,2,1.0,4,Yes
10185,39,R&D,Travel_Frequently,37.8,2,Married,4190.0,0,No,14.0,12.4,4.0,1,3.0,4,No
10583,24,R&D,Travel_Rarely,5.7,2,Married,3330.0,5,No,6.8,4.1,4.0,1,2.0,3,Yes
10661,27,Sales,Travel_Rarely,5.0,3,Married,2740.0,5,No,5.1,2.5,4.0,2,4.0,3,No
10897,40,HR,Travel_Frequently,11.2,5,Single,5630.0,4,No,16.5,9.8,3.0,1,3.0,3,No
10210,51,R&D,Travel_Frequently,22.3,3,Married,5950.0,1,No,23.5,16.5,3.0,1,2.0,4,No
10169,33,Sales,Non-Travel,14.4,1,Single,3410.0,5,No,9.9,4.6,4.0,3,1.0,3,Yes
10867,52,R&D,Travel_Rarely,3.2,5,Married,5430.0,6,No,18.6,9.3,2.0,1,1.0,4,No
10281,31,R&D,Travel_Rarely,4.6,2,Married,3720.0,3,No,7.1,5.7,4.0,1,2.0,3,Yes
10900,44,Sales,Travel_Rarely,4.7,1,Divorced,4630.0,3,No,20.6,14.4,2.0,1,1.0,4,No
10542,22,HR,Non-Travel,17.4,4,Married,2080.0,3,No,0.7,0.0,3.0,4,4.0,3,No
10056,21,Sales,Travel_Frequently,14.8,3,Married,2020.0,3,Yes,1.0,1.2,3.0,2,2.0,4,Yes
10121,37,Sales,Travel_Frequently,16.7,3,Married,4920.0,4,No,17.3,11.6,1.0,1,2.0,3,No
10555,59,R&D,Travel_Frequently,5.3,1,Married,7020.0,3,No,30.2,26.9,3.0,1,3.0,1,No
10026,45,R&D,Travel_Rarely,10.4,3,Married,5440.0,4,No,17.4,9.2,2.0,3,,1,No
10073,38,HR,Travel_Rarely,16.2,5,Married,4900.0,2,No,15.7,9.6,2.0,3,1.0,4,No
10539,41,R&D,Travel_Rarely,4.6,5,Married,4860.0,5,No,15.5,4.3,4.0,3,1.0,2,No
10045,22,Sales,Travel_Rarely,4.1,2,Married,1930.0,5,No,1.0,0.1,4.0,4,4.0,3,No
10498,34,R&D,Travel_Rarely,14.5,2,Married,2610.0,2,No,6.6,4.3,4.0,3,4.0,4,No
10199,33,HR,Travel_Frequently,26.5,5,Divorced,4200.0,1,Yes,12.3,10.5,2.0,4,3.0,4,Yes
10378,49,Sales,Travel_Rarely,21.2,4,Divorced,5800.0,1,No,20.7,16.5,4.0,4,3.0,3,No
10315,29,Sales,Travel_Rarely,11.5,4,Married,3260.0,4,Yes,7.5,4.8,4.0,1,2.0,3,Yes
10719,29,Sales,Travel_Rarely,7.7,3,Single,3190.0,3,No,8.7,6.1,1.0,3,2.0,3,No
10209,30,R&D,Non-Travel,11.1,5,Married,3350.0,3,Yes,8.2,6.4,2.0,1,1.0,3,Yes
10722,57,R&D,Travel_Rarely,11.9,2,Single,6060.0,4,No,25.7,10.4,1.0,1,1.0,4,No
10919,30,Sales,Non-Travel,12.8,4,Single,,3,No,9.7,5.9,3.0,1,3.0,3,No
10536,26,R&D,Travel_Frequently,12.6,1,Married,2640.0,5,No,5.7,2.9,3.0,2,1.0,2,Yes
10696,30,R&D,Travel_Rarely,1.0,5,Married,3700.0,4,Yes,7.7,6.0,2.0,3,4.0,4,No
10605,53,Sales,Travel_Rarely,3.2,4,Single,5870.0,7,No,21.2,7.4,3.0,2,3.0,3,No
10591,52,HR,Travel_Rarely,13.5,2,Single,6780.0,1,No,23.4,20.9,1.0,3,1.0,4,No
10291,52,Sales,Travel_Rarely,6.9,5,Single,5470.0,5,Yes,20.8,8.4,1.0,3,1.0,2,No
10960,36,Sales,Travel_Rarely,15.9,4,Married,4140.0,2,No,8.5,6.7,3.0,4,4.0,3,No
10333,32,Sales,Travel_Rarely,4.7,4,Single,3740.0,5,No,9.5,4.3,1.0,2,1.0,4,Yes
10211,30,Sales,Travel_Frequently,3.6,4,Single,2620.0,2,No,9.8,8.2,2.0,1,1.0,3,Yes
10343,44,R&D,Travel_Rarely,2.9,1,Married,5060.0,2,No,18.9,15.8,3.0,3,4.0,2,No
10061,56,HR,Non-Travel,20.0,3,Married,5450.0,5,Yes,20.9,6.6,1.0,1,4.0,2,No
10345,56,R&D,Travel_Rarely,8.0,2,Married,5600.0,3,No,23.1,16.9,3.0,2,4.0,3,No
10891,23,R&D,Travel_Frequently,1.0,1,Married,2650.0,2,Yes,3.9,2.2,2.0,4,4.0,3,Yes
10712,40,Sales,Travel_Rarely,132.6,5,Married,5080.0,4,No,17.0,7.9,2.0,3,2.0,3,No
10468,43,Sales,Travel_Rarely,18.9,4,Married,4090.0,0,No,13.8,13.6,1.0,1,2.0,3,No
10424,43,Sales,Travel_Frequently,1.9,2,Single,4740.0,2,Yes,18.9,17.4,2.0,3,1.0,3,Yes
10260,43,Sales,Travel_Rarely,28.6,1,Divorced,4770.0,4,No,16.0,10.7,1.0,3,2.0,4,No
10781,55,Sales,Travel_Rarely,11.5,5,Married,6440.0,4,No,27.9,12.7,3.0,3,2.0,1,No
10406,40,Sales,Non-Travel,13.4,4,Divorced,5250.0,4,No,17.5,8.7,1.0,2,1.0,4,No
10789,41,Sales,Travel_Frequently,3.6,3,Married,4240.0,4,Yes,16.3,7.1,4.0,2,4.0,4,No
10768,39,Sales,Travel_Frequently,1.6,5,Divorced,4280.0,2,No,19.7,15.6,1.0,3,4.0,4,Yes
10484,51,R&D,Non-Travel,20.6,5,Married,6130.0,5,No,21.1,13.3,3.0,4,3.0,3,No
10531,43,R&D,Travel_Frequently,10.6,5,Married,4470.0,6,Yes,19.6,10.6,3.0,2,1.0,4,No
10811,21,HR,Travel_Rarely,3.5,2,Married,2340.0,3,Yes,1.4,1.8,2.0,4,3.0,3,Yes
11000,40,R&D,Travel_Rarely,14.3,1,Married,4930.0,4,Yes,14.4,9.5,4.0,3,1.0,3,No
10967,44,Sales,Travel_Rarely,16.7,3,Single,5200.0,3,No,21.7,13.1,4.0,3,2.0,3,No
10111,31,R&D,Travel_Frequently,3.0,2,Single,2890.0,3,Yes,9.1,5.8,3.0,2,,4,Yes
10996,45,R&D,Travel_Rarely,31.6,3,Married,5410.0,2,No,21.5,19.2,1.0,3,4.0,3,No
10559,51,Sales,Travel_Rarely,21.8,4,Divorced,6720.0,2,No,26.2,19.7,3.0,4,4.0,2,No
10794,53,R&D,Non-Travel,6.4,2,Single,5360.0,5,No,20.5,6.1,1.0,1,3.0,3,Yes
10937,26,Sales,Travel_Rarely,8.6,4,Married,2520.0,1,No,3.5,2.4,1.0,3,2.0,4,No
10920,45,Sales,Non-Travel,30.3,3,Married,6020.0,4,No,24.6,14.0,4.0,2,4.0,3,No
10943,56,R&D,Non-Travel,164.0,2,Married,6530.0,4,No,24.2,15.9,1.0,4,3.0,3,No
10320,50,Sales,Non-Travel,5.4,5,Divorced,6010.0,4,Yes,23.5,18.8,4.0,4,4.0,3,No
10517,55,R&D,Travel_Rarely,8.1,4,Divorced,5830.0,1,No,27.7,26.0,2.0,4,3.0,3,No
10450,31,Sales,Non-Travel,9.8,4,Married,3410.0,4,No,8.7,2.6,4.0,3,2.0,3,No
10784,24,R&D,Travel_Rarely,10.2,2,Married,4030.0,3,No,4.8,3.2,4.0,2,1.0,3,No
10594,59,R&D,Non-Travel,160.8,1,Single,7350.0,4,No,31.7,23.9,1.0,1,1.0,4,No
10910,23,R&D,Travel_Frequently,8.8,2,Single,,3,No,3.8,2.6,1.0,4,2.0,3,Yes
10744,30,HR,Travel_Rarely,186.3,4,Single,3070.0,4,No,7.1,5.3,1.0,2,3.0,3,Yes
10138,21,R&D,Travel_Frequently,14.0,4,Married,2350.0,3,No,1.2,0.9,4.0,1,3.0,3,Yes
10800,37,R&D,Travel_Rarely,15.1,4,Single,3650.0,5,No,13.7,4.7,3.0,1,4.0,4,No
10934,45,R&D,Travel_Rarely,13.2,2,Single,4660.0,2,Yes,17.0,15.1,1.0,2,4.0,1,No
10823,25,HR,Non-Travel,2.0,1,Single,3150.0,3,No,4.7,2.0,4.0,4,4.0,4,No
10766,51,Sales,Travel_Frequently,10.4,5,Divorced,6740.0,2,Yes,28.9,26.2,4.0,2,3.0,2,No
10262,26,Sales,Travel_Rarely,4.0,3,Single,2240.0,3,No,1.9,1.5,4.0,2,4.0,3,No
10568,29,HR,Travel_Rarely,45.7,5,Single,3190.0,3,No,4.0,2.8,4.0,3,2.0,4,Yes
10833,38,Sales,Travel_Rarely,36.3,5,Married,,4,Yes,16.5,6.1,3.0,3,2.0,4,No
10382,57,HR,Non-Travel,17.2,5,Divorced,6220.0,2,No,31.1,26.3,2.0,2,4.0,3,No
10334,53,R&D,Travel_Rarely,12.1,5,Married,6470.0,3,Yes,28.3,15.4,2.0,4,1.0,3,No
10537,38,HR,Travel_Frequently,6.5,4,Single,4220.0,5,No,13.7,6.3,3.0,4,4.0,3,No
10352,21,Sales,Non-Travel,20.8,4,Married,1760.0,2,No,0.0,0.0,4.0,3,3.0,3,Yes
10786,43,R&D,Travel_Rarely,13.1,2,Married,30895.524775114165,2,Yes,21.5,16.2,4.0,4,1.0,4,No
10452,56,Sales,Travel_Rarely,12.7,3,Married,6350.0,3,No,25.9,15.4,2.0,4,2.0,4,No
10079,42,Sales,Travel_Rarely,8.9,2,Single,5520.0,0,Yes,19.3,17.7,2.0,1,2.0,3,No
10030,37,Sales,Travel_Rarely,1.5,1,Married,3940.0,5,No,12.6,7.2,3.0,2,2.0,3,No
10713,49,HR,Travel_Rarely,15.5,1,Divorced,5730.0,4,Yes,23.5,10.5,1.0,2,4.0,4,No
10278,51,Sales,Travel_Frequently,16.2,5,Married,5000.0,4,No,20.3,14.0,2.0,1,1.0,3,No
10248,36,R&D,Travel_Rarely,34.6,5,Married,4090.0,1,Yes,12.8,9.9,4.0,3,1.0,1,No
10658,45,Sales,Travel_Frequently,9.3,2,Married,4570.0,4,Yes,15.2,5.7,3.0,3,3.0,3,No
10307,32,Sales,Travel_Rarely,13.7,5,Single,3390.0,1,No,8.7,8.0,3.0,1,3.0,3,No
10166,52,R&D,Travel_Rarely,19.1,1,Married,7320.0,1,No,30.1,20.2,2.0,2,2.0,3,No
10817,21,Sales,Travel_Rarely,11.5,5,Married,2380.0,1,No,0.0,0.6,3.0,3,1.0,3,No
10179,56,Sales,Travel_Frequently,6.3,3,Single,6220.0,2,No,23.5,22.0,4.0,2,3.0,4,No
10486,29,R&D,Travel_Rarely,6.3,1,Married,3400.0,4,No,6.0,5.3,3.0,4,3.0,1,No
10066,33,R&D,Travel_Frequently,5.4,3,Married,4330.0,2,No,12.9,10.0,4.0,2,1.0,2,No
10142,28,Sales,Travel_Rarely,7.0,5,Married,3050.0,2,No,9.1,5.6,2.0,1,3.0,2,No
10437,42,R&D,Travel_Rarely,9.0,2,Married,4480.0,5,Yes,19.2,10.2,3.0,3,4.0,3,No
10523,27,Sales,Travel_Rarely,13.9,5,Single,2870.0,2,No,7.0,5.3,2.0,4,3.0,4,Yes
10845,20,Sales,Travel_Frequently,6.6,2,Single,,1,No,0.6,0.1,1.0,2,1.0,3,Yes
