flight_id,month,day_of_week,dep_hour,airline,dep_airport,arr_airport,distance_km,weather_index,dep_congestion,arr_congestion,airline_reliability,is_rush_hour,is_weekend,is_peak_season,prev_delay_factor,is_delayed
10550,9,2,12,AAR,ICN,KWJ,263,0.3087,0.9,0.3,0.8,0,0,0,0.1427,0
10889,1,3,17,JJA,CJU,YNY,245,0.6976,0.55,0.2,0.72,0,0,1,0.0543,1
10420,7,1,20,AAR,GMP,CJJ,412,0.4218,0.85,0.3,0.8,1,0,1,0.2617,1
10376,2,5,18,JJA,ICN,TAE,240,0.285,0.9,0.35,0.72,1,1,0,0.2882,1
11296,7,0,11,KAL,ICN,GMP,228,,0.9,0.85,0.85,0,0,1,0.1939,1
11196,8,2,21,KAL,ICN,USN,377,0.3496,0.9,0.25,0.85,1,0,1,0.2805,1
10020,6,4,8,ESR,PUS,YNY,445,,0.6,0.2,0.6,1,0,0,0.4622,0
10038,10,2,9,AAR,GMP,CJU,453,0.4653,0.85,0.55,0.8,1,0,0,0.2221,0
10351,7,1,20,KAL,CJU,CJJ,201,0.6667,0.55,0.3,0.85,1,0,1,0.3731,1
10710,6,2,14,KAL,GMP,CJJ,225,0.8793,,0.3,0.85,0,0,0,0.2806,1
10765,5,5,12,AAR,CJU,USN,254,0.3669,0.55,0.25,0.8,0,1,0,0.296,0
10302,10,0,17,KAL,ICN,KWJ,263,0.2201,0.9,0.3,0.85,0,0,0,0.8009,1
11311,7,3,12,AAR,ICN,PUS,325,0.36,0.9,0.6,0.8,0,0,1,0.5368,0
11088,12,4,6,JJA,ICN,YNY,198,0.6904,0.9,0.2,0.72,0,0,1,0.0459,1
10004,6,6,20,AAR,GMP,USN,260,0.5742,0.85,0.25,0.8,1,1,0,0.0324,1
10706,7,2,11,KAL,GMP,PUS,328,0.5047,,0.6,0.85,0,0,1,0.1956,1
11040,10,6,20,AAR,ICN,TAE,240,0.5061,0.9,0.35,0.8,1,1,0,0.2586,1
10539,7,0,21,AAR,GMP,CJJ,407,0.3842,0.85,0.3,0.8,1,0,1,0.2676,1
10665,8,4,8,AAR,CJU,CJJ,240,0.4552,0.55,0.3,0.8,1,0,1,0.3133,1
10753,2,1,13,AAR,GMP,USN,407,0.2858,0.85,0.25,0.8,0,0,0,0.2232,0
10989,3,0,22,JJA,USN,ICN,377,0.5318,0.25,0.9,0.72,0,0,0,0.2441,0
10269,8,0,18,AAR,ICN,KWJ,263,0.4159,0.9,0.3,0.8,1,0,1,0.4624,0
10510,3,5,9,ESR,USN,YNY,286,0.4462,0.25,0.2,0.6,1,1,0,0.5756,1
10304,11,4,22,JJA,ICN,PUS,325,0.2687,0.9,0.6,0.72,0,0,0,0.2374,0
10102,3,0,13,AAR,CJU,ICN,467,0.6312,0.55,0.9,0.8,0,0,0,0.5137,1
11099,1,5,6,AAR,ICN,TAE,240,0.5036,0.9,0.35,0.8,0,1,1,0.1657,1
10293,12,3,9,TWB,ICN,KWJ,263,,0.9,0.3,0.68,1,0,1,0.2132,1
10191,9,3,8,KAL,CJU,PUS,200,0.3962,0.55,0.6,0.85,1,0,0,0.243,0
10415,1,4,12,TWB,PUS,CJJ,342,0.2849,0.6,0.3,0.68,0,0,1,0.1903,0
11329,9,4,17,AAR,GMP,CJU,453,0.266,0.85,0.55,0.8,0,0,0,0.4448,0
10049,9,0,13,TWB,GMP,YNY,476,,0.85,0.2,0.68,0,0,0,0.3673,0
10081,12,3,11,JJA,CJU,CJJ,222,0.6913,0.55,0.3,0.72,0,0,1,0.1288,1
10680,12,2,12,JJA,CJU,YNY,314,0.6411,0.55,0.2,0.72,0,0,1,0.2202,1
10195,12,1,10,AAR,ICN,TAE,240,0.5633,0.9,0.35,0.8,0,0,1,0.1916,1
11316,4,3,8,AAR,GMP,USN,371,0.2417,0.85,0.25,0.8,1,0,0,0.1954,1
11067,12,4,17,ESR,ICN,USN,377,0.2584,0.9,0.25,0.6,0,0,1,0.2989,0
10202,11,5,19,JJA,CJU,TAE,295,0.5095,0.55,0.35,0.72,1,1,0,0.7271,1
10708,7,5,16,JJA,PUS,CJU,200,0.3849,0.6,0.55,0.72,0,1,1,0.3157,1
10259,3,1,14,JJA,GMP,USN,465,0.4705,0.85,0.25,0.72,0,0,0,0.1241,0
10946,2,5,14,AAR,CJU,PUS,200,0.556,0.55,0.6,0.8,0,1,0,,1
10760,9,1,12,KAL,GMP,USN,226,0.1016,0.85,0.25,0.85,0,0,0,0.0832,0
11309,5,4,9,KAL,PUS,KWJ,205,0.2588,0.6,0.3,0.85,1,0,0,0.5021,0
11033,9,6,12,KAL,GMP,YNY,393,0.2695,0.85,0.2,0.85,0,1,0,0.1967,0
10299,4,6,13,KAL,ICN,CJJ,195,0.1777,0.9,0.3,0.85,0,1,0,,0
10664,3,6,19,KAL,GMP,KWJ,258,0.3185,0.85,0.3,0.85,1,1,0,0.5846,0
10660,4,4,14,KAL,ICN,USN,377,0.213,0.9,0.25,0.85,0,0,0,0.0247,0
10618,4,3,12,JJA,ICN,KWJ,263,0.3452,0.9,0.3,0.72,0,0,0,0.1783,0
10187,2,1,21,AAR,GMP,YNY,451,0.3662,0.85,0.2,0.8,1,0,0,0.263,1
11130,8,0,8,KAL,ICN,KWJ,263,0.6903,0.9,0.3,0.85,1,0,1,0.2578,1
11095,4,4,21,KAL,ICN,KWJ,263,0.1993,0.9,0.3,0.85,1,0,0,0.3551,0
10109,6,1,19,ESR,GMP,USN,487,0.311,0.85,0.25,0.6,1,0,0,0.2823,0
10465,1,6,8,JJA,ICN,KWJ,263,0.7423,0.9,0.3,0.72,1,1,1,0.0981,1
10494,8,5,9,AAR,PUS,ICN,325,0.3531,0.6,0.9,0.8,1,1,1,0.0917,1
10491,12,2,6,TWB,ICN,KWJ,263,0.5691,0.9,0.3,0.68,0,0,1,0.11,0
10877,7,6,16,ESR,ICN,USN,377,0.5218,0.9,0.25,0.6,0,1,1,0.1276,1
10790,1,2,18,KAL,PUS,KWJ,205,0.401,0.6,0.3,0.85,1,0,1,0.7456,1
10092,10,3,8,KAL,PUS,CJJ,281,0.3217,0.6,0.3,0.85,1,0,0,,0
10730,8,0,11,TWB,KWJ,PUS,205,0.6605,0.3,0.6,0.68,0,0,1,0.2673,1
10199,5,3,19,KAL,GMP,YNY,365,0.2503,0.85,0.2,0.85,1,0,0,0.2575,1
10521,5,0,17,AAR,PUS,GMP,328,0.323,0.6,0.85,0.8,0,0,0,0.3604,1
11120,6,1,21,TWB,ICN,PUS,325,0.5374,0.9,0.6,0.68,1,0,0,0.098,0
10960,5,3,14,KAL,CJU,GMP,453,0.4129,0.55,0.85,0.85,0,0,0,0.2972,1
10182,2,0,10,JJA,GMP,ICN,293,0.3799,0.85,0.9,0.72,0,0,0,0.1746,0
11082,12,3,9,AAR,ICN,GMP,407,0.3672,0.9,0.85,0.8,1,0,1,0.2536,1
11275,10,6,7,KAL,GMP,USN,251,0.3165,0.85,0.25,0.85,1,1,0,0.2101,0
10312,9,4,14,TWB,ICN,PUS,325,0.3346,0.9,0.6,0.68,0,0,0,0.3037,1
10352,1,1,8,TWB,USN,CJU,238,0.366,0.25,0.55,0.68,1,0,1,0.0402,0
10440,5,5,14,KAL,GMP,KWJ,258,0.3188,0.85,0.3,0.85,0,1,0,0.2505,0
10648,7,6,8,AAR,ICN,PUS,325,0.4674,,0.6,0.8,1,1,1,0.2036,1
10634,5,5,20,KAL,ICN,PUS,325,0.1879,0.9,0.6,0.85,1,1,0,0.1594,0
10573,4,5,17,AAR,ICN,KWJ,263,0.2491,0.9,0.3,0.8,0,1,0,0.6168,0
10899,1,1,10,JJA,TAE,CJJ,488,0.7804,0.35,0.3,0.72,0,0,1,0.6248,1
11083,12,1,7,JJA,GMP,CJJ,388,0.4439,0.85,0.3,0.72,1,0,1,0.3235,1
10983,7,1,9,KAL,ICN,PUS,325,0.5908,0.9,0.6,0.85,1,0,1,0.3373,1
11314,11,3,14,KAL,TAE,CJJ,240,0.1838,0.35,0.3,0.85,0,0,0,0.146,0
10769,2,3,14,ESR,GMP,CJJ,355,0.3476,0.85,0.3,0.6,0,0,0,0.5042,1
11192,4,6,21,AAR,CJU,ICN,467,0.4663,0.55,0.9,0.8,1,1,0,0.4043,0
10089,10,2,6,JJA,ICN,KWJ,263,0.4751,0.9,0.3,0.72,0,0,0,0.2888,1
10387,1,3,9,ESR,ICN,KWJ,263,0.5361,0.9,0.3,0.6,1,0,1,0.1081,1
11169,12,1,9,JJA,GMP,YNY,387,0.718,0.85,0.2,0.72,1,0,1,0.2445,1
11060,4,0,15,TWB,GMP,USN,213,0.2005,0.85,0.25,0.68,0,0,0,0.3763,1
10495,4,5,18,KAL,GMP,PUS,328,0.1723,0.85,0.6,0.85,1,1,0,0.3305,0
10933,4,2,6,KAL,ICN,PUS,325,0.3255,0.9,0.6,0.85,0,0,0,0.3394,0
10860,10,0,13,AAR,ICN,GMP,437,0.1769,0.9,0.85,0.8,0,0,0,0.189,0
10951,2,1,8,TWB,GMP,YNY,233,0.5998,0.85,0.2,0.68,1,0,0,0.587,0
11064,9,4,16,AAR,ICN,KWJ,263,0.1531,0.9,0.3,0.8,0,0,0,0.0709,0
11195,7,5,16,AAR,GMP,USN,480,0.612,0.85,0.25,0.8,0,1,1,0.7694,1
10798,6,6,14,KAL,YNY,TAE,397,0.6838,0.2,0.35,0.85,0,1,0,0.2849,0
10427,11,2,20,JJA,ICN,YNY,198,0.1559,0.9,0.2,0.72,1,0,0,0.2129,0
11059,6,3,7,TWB,GMP,TAE,228,0.5044,0.85,0.35,0.68,1,0,0,0.1038,0
10095,11,0,7,KAL,USN,KWJ,320,0.4801,0.25,0.3,0.85,1,0,0,,0
10391,9,3,11,KAL,CJU,YNY,272,0.3639,0.55,0.2,0.85,0,0,0,0.2632,0
10711,9,6,7,AAR,KWJ,USN,297,,0.3,0.25,0.8,1,1,0,0.4719,0
10168,3,0,8,JJA,TAE,CJU,295,0.2694,0.35,0.55,0.72,1,0,0,0.2874,0
11148,10,6,12,JJA,CJU,PUS,200,0.3219,0.55,0.6,0.72,0,1,0,0.0853,1
10990,10,0,8,KAL,PUS,ICN,325,0.2421,0.6,0.9,0.85,1,0,0,0.2722,1
10986,8,3,8,KAL,ICN,GMP,355,0.7557,0.9,0.85,0.85,1,0,1,,1
10271,4,1,16,KAL,CJU,USN,312,0.4961,0.55,0.25,0.85,0,0,0,0.4053,0
10522,2,1,10,ESR,ICN,CJU,467,0.647,0.9,0.55,0.6,0,0,0,0.6065,0
10635,3,4,7,KAL,PUS,GMP,328,0.3474,0.6,0.85,0.85,1,0,0,0.397,0
10066,4,5,15,AAR,ICN,YNY,198,0.2261,0.9,0.2,0.8,0,1,0,0.2959,0
10629,7,0,12,JJA,ICN,YNY,198,0.3681,0.9,0.2,0.72,0,0,1,0.2824,0
11264,10,4,12,KAL,ICN,KWJ,263,0.4936,0.9,0.3,0.85,0,0,0,,0
10129,7,1,16,TWB,PUS,GMP,328,0.3783,0.6,0.85,0.68,0,0,1,0.1842,0
11070,1,2,11,AAR,ICN,PUS,325,0.4773,0.9,0.6,0.8,0,0,1,0.3086,0
10112,10,2,10,AAR,PUS,CJU,200,0.3759,0.6,0.55,0.8,0,0,0,0.1984,0
10881,2,4,20,JJA,ICN,CJU,467,0.289,0.9,0.55,0.72,1,0,0,0.4103,1
10923,6,2,11,TWB,GMP,CJU,453,0.4689,0.85,0.55,0.68,0,0,0,0.2366,0
10674,2,4,14,AAR,GMP,PUS,328,0.6325,0.85,0.6,0.8,0,0,0,0.3124,1
10590,11,1,9,KAL,ICN,TAE,240,0.5398,0.9,0.35,0.85,1,0,0,0.5375,0
10992,7,2,16,ESR,GMP,ICN,433,0.3374,0.85,0.9,0.6,0,0,1,0.3367,0
10926,12,2,18,KAL,GMP,KWJ,258,0.6509,0.85,0.3,0.85,1,0,1,0.0384,1
10721,2,1,14,TWB,ICN,GMP,404,0.2927,0.9,0.85,0.68,0,0,0,0.2686,0
11030,5,4,16,JJA,GMP,KWJ,258,0.1491,0.85,0.3,0.72,0,0,0,0.3076,0
10160,10,4,13,AAR,PUS,USN,499,0.2173,0.6,0.25,0.8,0,0,0,0.0362,0
10562,1,6,14,AAR,ICN,TAE,240,0.4428,0.9,0.35,0.8,0,1,1,0.4932,0
10170,1,3,9,JJA,ICN,KWJ,263,0.389,0.9,0.3,0.72,1,0,1,0.0895,1
10855,4,3,13,KAL,ICN,YNY,198,0.5287,0.9,0.2,0.85,0,0,0,0.0942,1
10289,7,1,21,KAL,PUS,YNY,212,0.3533,0.6,0.2,0.85,1,0,1,0.1519,0
10116,7,0,7,TWB,GMP,YNY,393,0.5514,0.85,0.2,0.68,1,0,1,0.1333,1
10764,12,6,6,ESR,PUS,GMP,328,0.6407,0.6,0.85,0.6,0,1,1,0.1133,1
10615,9,5,12,KAL,YNY,ICN,198,0.4139,0.2,0.9,0.85,0,1,0,0.2574,0
10526,4,0,19,AAR,ICN,PUS,325,0.3927,0.9,0.6,0.8,1,0,0,0.2705,1
11113,3,3,17,KAL,ICN,CJU,467,0.3202,0.9,0.55,0.85,0,0,0,0.2817,0
10076,6,5,11,JJA,PUS,YNY,261,0.4684,0.6,0.2,0.72,0,1,0,0.8749,1
10702,8,2,21,TWB,PUS,GMP,328,0.2736,0.6,0.85,0.68,1,0,1,0.3386,1
10603,9,0,16,AAR,ICN,USN,377,0.0884,0.9,0.25,0.8,0,0,0,0.1375,0
10617,3,2,16,TWB,GMP,USN,432,0.5199,0.85,0.25,0.68,0,0,0,0.2746,0
10582,11,3,18,JJA,YNY,PUS,363,0.3158,0.2,0.6,0.72,1,0,0,0.427,0
10557,9,2,8,TWB,GMP,CJJ,286,0.2364,0.85,0.3,0.68,1,0,0,0.1575,0
10917,7,4,6,KAL,ICN,PUS,325,0.4854,0.9,0.6,0.85,0,0,1,0.3632,1
11128,8,1,15,AAR,PUS,CJU,200,0.7597,0.6,0.55,0.8,0,0,1,,0
11195,7,5,16,AAR,GMP,USN,480,0.612,0.85,0.25,0.8,0,1,1,0.7694,1
10698,8,3,22,AAR,GMP,KWJ,258,0.5288,0.85,0.3,0.8,0,0,1,0.1725,0
11058,10,4,15,JJA,CJU,USN,463,0.3715,0.55,0.25,0.72,0,0,0,0.1218,0
10687,5,4,19,KAL,PUS,TAE,292,0.2195,0.6,0.35,0.85,1,0,0,0.0891,0
10532,2,1,9,KAL,CJU,ICN,467,0.655,0.55,0.9,0.85,1,0,0,0.5042,0
10453,6,3,9,KAL,ICN,CJU,467,0.4974,0.9,0.55,0.85,1,0,0,0.5287,1
10237,8,5,19,ESR,ICN,CJJ,195,0.418,,0.3,0.6,1,1,1,,1
10497,2,2,9,JJA,ICN,CJJ,195,0.3397,0.9,0.3,0.72,1,0,0,0.4424,0
10778,2,4,15,KAL,GMP,YNY,443,0.3841,0.85,0.2,0.85,0,0,0,0.2231,1
10260,8,0,14,KAL,GMP,ICN,443,0.4252,0.85,0.9,0.85,0,0,1,0.3995,0
10121,6,6,15,ESR,CJU,YNY,392,0.3841,0.55,0.2,0.6,0,1,0,0.1487,0
10742,10,2,6,AAR,GMP,KWJ,258,0.1292,0.85,0.3,0.8,0,0,0,0.3981,0
10913,5,0,16,KAL,ICN,KWJ,263,0.4103,0.9,0.3,0.85,0,0,0,0.091,0
10052,3,1,7,ESR,ICN,PUS,325,0.2231,0.9,0.6,0.6,1,0,0,0.0931,0
10709,6,2,17,AAR,ICN,YNY,198,0.3379,0.9,0.2,0.8,0,0,0,0.2867,0
10178,2,0,21,TWB,ICN,YNY,198,0.3024,0.9,0.2,0.68,1,0,0,0.2759,0
11277,8,6,16,AAR,CJU,USN,421,0.7521,0.55,0.25,0.8,0,1,1,0.3646,1
10331,7,6,18,TWB,ICN,CJU,467,0.6898,0.9,0.55,0.68,1,1,1,0.1435,1
11166,2,5,19,KAL,ICN,CJU,467,0.6503,0.9,0.55,0.85,1,1,0,0.4274,0
10134,7,0,15,AAR,PUS,ICN,325,0.7573,0.6,0.9,0.8,0,0,1,0.4144,0
10901,1,3,13,JJA,ICN,YNY,198,0.3564,0.9,0.2,0.72,0,0,1,0.2773,0
11132,9,6,9,KAL,GMP,CJU,453,0.3734,0.85,0.55,0.85,1,1,0,0.5129,1
11324,11,1,10,TWB,GMP,ICN,320,0.2796,0.85,0.9,0.68,0,0,0,0.2292,0
10342,4,6,10,KAL,PUS,TAE,244,0.2618,0.6,0.35,0.85,0,1,0,0.0301,0
10082,6,1,21,JJA,CJJ,PUS,238,0.3697,0.3,0.6,0.72,1,0,0,0.6114,0
10758,5,0,6,JJA,GMP,KWJ,258,0.1936,0.85,0.3,0.72,0,0,0,0.0533,1
10281,4,4,18,AAR,ICN,YNY,198,0.3893,0.9,0.2,0.8,1,0,0,0.1933,1
10143,4,0,18,AAR,ICN,YNY,198,0.3983,0.9,0.2,0.8,1,0,0,0.1876,0
10205,6,3,17,JJA,ICN,YNY,198,0.3453,0.9,0.2,0.72,0,0,0,0.1197,0
10542,1,1,9,KAL,GMP,PUS,328,0.3686,0.85,0.6,0.85,1,0,1,0.3078,1
10322,2,3,8,TWB,ICN,USN,377,0.425,,0.25,0.68,1,0,0,0.3102,0
10057,7,2,21,KAL,GMP,PUS,328,,0.85,0.6,0.85,1,0,1,0.2178,0
11312,5,5,21,AAR,ICN,PUS,325,0.3521,0.9,0.6,0.8,1,1,0,0.1788,0
10337,12,2,19,KAL,CJU,KWJ,420,0.5154,0.55,0.3,0.85,1,0,1,0.0662,1
11183,9,6,15,KAL,PUS,KWJ,205,0.2838,0.6,0.3,0.85,0,1,0,0.0991,0
10433,10,0,18,KAL,PUS,TAE,245,0.3223,0.6,0.35,0.85,1,0,0,0.676,0
11015,7,5,18,JJA,GMP,PUS,328,0.286,0.85,0.6,0.72,1,1,1,0.4748,1
10120,2,0,18,AAR,ICN,YNY,198,0.6847,0.9,0.2,0.8,1,0,0,0.4444,1
10529,11,5,18,ESR,GMP,CJU,453,0.1718,0.85,0.55,0.6,1,1,0,0.4528,0
10868,11,6,8,JJA,GMP,TAE,228,0.4018,0.85,0.35,0.72,1,1,0,,1
10108,8,3,11,ESR,CJU,PUS,200,0.6096,0.55,0.6,0.6,0,0,1,0.1746,1
10594,12,0,10,TWB,GMP,USN,237,0.7637,0.85,0.25,0.68,0,0,1,0.0809,1
11069,5,2,19,ESR,KWJ,TAE,228,0.5201,0.3,0.35,0.6,1,0,0,0.0778,0
10661,3,3,22,JJA,GMP,KWJ,258,0.3546,0.85,0.3,0.72,0,0,0,0.0321,0
10482,10,6,9,ESR,CJU,ICN,467,0.4237,0.55,0.9,0.6,1,1,0,0.6027,0
10822,8,5,11,KAL,ICN,KWJ,263,0.7449,0.9,0.3,0.85,0,1,1,0.2307,1
11217,7,5,7,JJA,GMP,TAE,228,0.4051,0.85,0.35,0.72,1,1,1,0.4365,1
11010,7,1,20,ESR,CJU,GMP,453,0.6861,0.55,0.85,0.6,1,0,1,0.1629,1
10013,9,2,21,KAL,CJJ,CJU,351,0.5527,0.3,0.55,0.85,1,0,0,0.3269,1
10678,2,6,15,AAR,GMP,PUS,328,0.2949,0.85,0.6,0.8,0,1,0,0.1422,0
10978,7,1,19,KAL,PUS,YNY,452,0.5394,0.6,0.2,0.85,1,0,1,0.2271,1
10598,10,6,21,KAL,GMP,CJJ,456,,0.85,0.3,0.85,1,1,0,0.4224,0
10074,2,4,17,KAL,ICN,KWJ,263,0.4979,0.9,0.3,0.85,0,0,0,0.2206,0
10528,2,6,12,JJA,PUS,YNY,239,0.5077,0.6,0.2,0.72,0,1,0,0.2709,0
11149,9,0,18,ESR,TAE,USN,253,0.2301,0.35,0.25,0.6,1,0,0,0.1265,0
10310,2,1,19,AAR,ICN,CJU,467,0.4277,0.9,0.55,0.8,1,0,0,0.0888,0
10645,10,5,15,AAR,PUS,USN,292,0.2195,0.6,0.25,0.8,0,1,0,0.0983,0
10050,10,2,22,AAR,ICN,GMP,479,0.2359,0.9,0.85,0.8,0,0,0,,0
10714,10,5,7,JJA,ICN,KWJ,263,0.5084,0.9,0.3,0.72,1,1,0,0.4494,1
11131,5,4,21,AAR,GMP,CJJ,267,0.2432,0.85,0.3,0.8,1,0,0,0.0662,0
10425,6,5,13,JJA,ICN,YNY,198,0.6866,0.9,0.2,0.72,0,1,0,0.526,1
10088,4,4,7,KAL,ICN,PUS,325,0.3905,0.9,0.6,0.85,1,0,0,0.1614,0
11175,1,0,16,ESR,ICN,YNY,198,,0.9,0.2,0.6,0,0,1,0.2995,1
10409,12,3,21,AAR,ICN,CJU,467,0.4457,0.9,0.55,0.8,1,0,1,0.2509,1
10756,6,1,20,KAL,PUS,ICN,325,0.4121,0.6,0.9,0.85,1,0,0,0.2009,1
10164,5,2,16,KAL,ICN,TAE,240,0.322,0.9,0.35,0.85,0,0,0,0.2116,0
10329,2,6,9,AAR,PUS,CJJ,477,0.4565,0.6,0.3,0.8,1,1,0,0.4125,1
10048,11,4,19,KAL,PUS,USN,201,0.4702,0.6,0.25,0.85,1,0,0,0.575,0
10099,8,5,18,KAL,GMP,YNY,399,0.4021,0.85,0.2,0.85,1,1,1,0.2348,1
10488,7,2,12,KAL,PUS,ICN,325,0.4452,0.6,0.9,0.85,0,0,1,,0
10268,5,3,9,JJA,CJU,ICN,467,0.5077,0.55,0.9,0.72,1,0,0,0.3038,1
10232,11,1,17,ESR,ICN,YNY,198,0.3115,0.9,0.2,0.6,0,0,0,0.4184,0
11261,4,6,22,JJA,ICN,CJU,467,0.5283,0.9,0.55,0.72,0,1,0,0.5217,1
10572,5,3,13,KAL,ICN,PUS,325,,0.9,0.6,0.85,0,0,0,0.1636,0
10303,1,0,21,KAL,GMP,USN,491,0.4603,0.85,0.25,0.85,1,0,1,0.3323,1
11336,12,3,6,AAR,CJU,YNY,267,0.8068,0.55,0.2,0.8,0,0,1,0.2671,1
10818,2,5,21,AAR,GMP,TAE,228,0.6153,0.85,0.35,0.8,1,1,0,0.3317,0
10792,6,6,16,KAL,ICN,KWJ,263,0.5144,0.9,0.3,0.85,0,1,0,0.2437,0
10499,12,3,22,JJA,ICN,YNY,198,0.6228,0.9,0.2,0.72,0,0,1,0.1949,0
10132,7,0,19,KAL,GMP,TAE,228,0.6894,0.85,0.35,0.85,1,0,1,0.2617,1
11216,2,3,7,TWB,ICN,PUS,325,0.2972,0.9,0.6,0.68,1,0,0,0.2562,0
11119,9,0,16,KAL,ICN,YNY,198,0.1857,0.9,0.2,0.85,0,0,0,0.5925,0
11014,4,0,9,KAL,PUS,YNY,390,0.331,0.6,0.2,0.85,1,0,0,0.4217,0
11004,11,3,21,JJA,KWJ,GMP,258,0.4123,0.3,0.85,0.72,1,0,0,0.085,0
10745,10,1,21,ESR,GMP,YNY,452,0.2996,0.85,0.2,0.6,1,0,0,0.56,1
10216,4,3,13,KAL,CJU,CJJ,320,0.3728,0.55,0.3,0.85,0,0,0,0.4942,0
10136,4,6,15,AAR,CJJ,PUS,242,0.3644,0.3,0.6,0.8,0,1,0,0.3122,0
10311,8,4,12,JJA,ICN,KWJ,263,0.5041,0.9,0.3,0.72,0,0,1,0.1639,0
10443,2,2,13,JJA,ICN,GMP,283,0.4355,0.9,0.85,0.72,0,0,0,0.1903,0
11103,12,0,19,KAL,ICN,YNY,198,0.4163,0.9,0.2,0.85,1,0,1,0.2698,1
10892,9,4,11,KAL,GMP,CJJ,466,0.3544,0.85,0.3,0.85,0,0,0,0.2977,0
11225,6,5,16,AAR,GMP,CJJ,476,0.4356,0.85,0.3,0.8,0,1,0,0.2065,0
11189,7,3,8,JJA,CJU,USN,493,0.4205,0.55,0.25,0.72,1,0,1,0.3911,1
10683,12,0,22,KAL,CJJ,YNY,208,0.3823,0.3,0.2,0.85,0,0,1,0.491,1
10821,1,0,20,JJA,GMP,YNY,444,0.3677,0.85,0.2,0.72,1,0,1,0.1703,0
10840,11,4,20,AAR,GMP,CJU,453,0.403,0.85,0.55,0.8,1,0,0,0.1485,0
10613,10,0,21,KAL,GMP,USN,442,0.2292,0.85,0.25,0.85,1,0,0,0.1356,0
10941,9,2,18,AAR,PUS,ICN,325,0.448,0.6,0.9,0.8,1,0,0,0.3011,1
10263,4,4,22,TWB,ICN,KWJ,263,0.2741,0.9,0.3,0.68,0,0,0,0.1249,0
11018,6,1,10,TWB,GMP,TAE,228,0.4454,0.85,0.35,0.68,0,0,0,0.1347,0
10196,2,4,15,AAR,CJU,CJJ,291,0.8259,0.55,0.3,0.8,0,0,0,0.2493,1
10444,6,1,15,JJA,PUS,KWJ,205,0.7977,0.6,0.3,0.72,0,0,0,0.3877,1
10305,7,1,17,AAR,ICN,KWJ,263,0.6377,0.9,0.3,0.8,0,0,1,0.4392,1
11122,2,0,6,JJA,GMP,ICN,204,0.3089,0.85,0.9,0.72,0,0,0,0.3928,0
10623,2,4,19,TWB,GMP,CJU,453,5.792,0.85,0.55,0.68,1,0,0,0.2143,1
11144,11,4,11,KAL,CJU,YNY,214,0.4278,0.55,0.2,0.85,0,0,0,0.3758,0
11139,9,3,22,JJA,ICN,YNY,198,0.2121,0.9,0.2,0.72,0,0,0,0.1967,0
11044,5,1,13,JJA,ICN,KWJ,263,0.1588,0.9,0.3,0.72,0,0,0,0.6561,0
